slot,ql,vp
ring,1,100
body,25,78
boots,25,73
pants,25,73
sleeves,25,49
gloves,25,49
helmet,25,78
ring,25,253
body,50,323
boots,50,302
pants,50,302
sleeves,50,202
gloves,50,202
helmet,50,323
ring,50,741
body,75,736
boots,75,690
pants,75,690
sleeves,75,460
gloves,75,460
helmet,75,736
ring,75,1563
body,100,1316
boots,100,1234
pants,100,1234
sleeves,100,823
gloves,100,823
helmet,100,1316
ring,100,2719
body,125,2064
boots,125,1935
pants,125,1935
sleeves,125,1290
gloves,125,1290
helmet,125,2064
ring,125,4210
body,150,2980
boots,150,2794
pants,150,2794
sleeves,150,1863
gloves,150,1863
helmet,150,2980
ring,150,6035
body,175,4064
boots,175,3810
pants,175,3810
sleeves,175,2540
gloves,175,2540
helmet,175,4064
ring,175,8193
body,200,5316
boots,200,4984
pants,200,4984
sleeves,200,3322
gloves,200,3322
helmet,200,5316
ring,200,10687
body,225,6735
boots,225,6313
pants,225,6313
sleeves,225,4209
gloves,225,4209
helmet,225,6735
ring,225,13513
body,250,8321
boots,250,7802
pants,250,7802
sleeves,250,5201
gloves,250,5201
helmet,250,8321
ring,250,16674
body,275,10077
boots,275,9446
pants,275,9446
sleeves,275,6298
gloves,275,6298
helmet,275,10077
ring,275,20171
body,300,12000
boots,300,11250
pants,300,11250
sleeves,300,7500
gloves,300,7500
helmet,300,12000
ring,300,24000
specialhelmet,300,30000
back,300,30000
shoulder,300,12000
