# Table: fun
# Replaces: type=cybor
# uuid: id
type,content
cybor,"I touch you on your lettuce, you massage my spinach... sexily."
cybor,"Don't worry about it. I'm wearing a lacy black bra.My soft breasts are rising and falling, as I breath harder and harder."
cybor,"My turnips listen for the soft cry of your love. My insides turn to celery as I unleash my warm and sticky cauliflower of love."
cybor,"I ride your buttocks like they were amber waves of grains."
cybor,"We're in my bedroom. There's soft music playing on the stereo and candles on my dresser and night table.I'm looking up into your eyes, smiling. My hand works its way down to your crotch and begins to fondle your huge, swelling bulge."
cybor,"Noooo, I can't get my combined back on!"
cybor,"Are you ready for my fresh produce?"
cybor,"Are you ready to get nasty, baby? I'm as hot as a pizza oven"
cybor,"Baby, I been havin a tough night so treat me nice aight?"
cybor,"Don't worry about it. I'm wearing a lacy black bra. My soft breasts are rising and falling, as I breath harder and harder."
cybor,"hot damn am I excited now!"
cybor,"haha, ok, u know that turns me on."
cybor,"I am completely inside of you. You are my puppet. I put on a little play."
cybor,"I am wearing a red silk blouse, a miniskirt and high heels. I work out every day, I'm toned and perfect. My measurements are 36-24-36. What do you look like?"
cybor,"I can no longer resist the pizza. I open the box and unzip my pants with my other hand. As I penetrate the gooey cheese, I moan in ecstacy. The mushrooms and Italian sausage are rough, but the sauce is deliciously soothing. I blow my load in seconds. As you leave the bathroom."
cybor,"I cast Lvl. 3 Eroticism. You turn into a real beautiful woman."
cybor,"I execute standing position 12 from the Kama Sutra. Passion fills the room. Your head is close to the ceiling fan."
cybor,"I kiss you on the mouth, hard, but then gently."
cybor,"I kiss you softly on your chest."
cybor,"I lick your earlobe, and undo your watch."
cybor,"I make some toast and eat it off your ass. Land O' Lakes butter all in your crack. Mmmm."
cybor,"I meditate to regain my mana, before casting Lvl. 8 tool of the Infinite. I spend my mana reserves to cast Mighty Thrust of the Beyondness."
cybor,"I mouth the words to you, as if in slow motion: do me, do me."
cybor,"I put my hand through ur hair, and kiss u on the neck."
cybor,"I ride your buttocks like they were amber waves of grains."
cybor,"I slip out of my pants, just for you, bloodninja."
cybor,"I smack you thick booty."
cybor,"I stomp the ground, and snort, to alert you that you are in my breeding territory."
cybor,"I take off my trenchcoat, I'm nekked beneath, with pistols on my belt."
cybor,"I take yo pants off, grunting like a troll."
cybor,"I take your hand and kiss it softly.I'm reaching back undoing the clasp. The bra slides off my body. The air caresses my breasts. My nipples are erect for you."
cybor,"I touch you on your lettuce, you massage my spinach... sexily."
cybor,"I unzip my pants..."
cybor,"I want you. Would you like to screw me?"
cybor,"I was great. You loved it."
cybor,"I'm arching my back. Oh baby. I just want to feel your tongue all over me."
cybor,"I'm bending over the bed. Give it to me, baby!"
cybor,"I'm fumbling with the clasp on your bra. I think it's stuck. Do you have any scissors?"
cybor,"I'm moaning softly."
cybor,"I'm moving my buttocks back and forth, moaning. I can't stand it another second! Take me now!"
cybor,"I'm on the bed arching for you."
cybor,"I'm pulling off your panties. My tongue is going all over, in and out nibbling on you... umm... wait a minute."
cybor,"I'm pulling up your shirt and kissing your chest."
cybor,"I'm taking hold of your blouse and sliding it off slowly."
cybor,"I'm throwing my head back in pleasure. The cool silk slides off my warm skin. I'm rubbing your bulge faster, pulling and rubbing."
cybor,"I'm touching your smooth butt. It feels so nice. I kiss your neck."
cybor,"I'm tuggin' off your pants. I'm moaning. I want you so badly."
cybor,"I've got a pubic hair caught in my throat. I'm choking."
cybor,"My turnips listen for the soft cry of your love. My insides turn to celery as I unleash my warm and sticky cauliflower of love."
cybor,"my zucchinis carresses your carrots."
cybor,"No, never mind. I'm getting dressed. I'm putting on my underwear. Now I'm putting on my wet nasty blouse. I'm buttoning my blouse. Now I'm putting on my shoes."
cybor,"Now I'm unbuttoning your blouse. My hands are trembling."
cybor,"Now my manhood won't get hard for a week."
cybor,"Oh	yeah, aight. Aight, I put on my robe and wizard hat."
cybor,"Ok baby, we got to hurry, I don't know how long I can keep it ready for you."
cybor,"OK, now I'm going to put my... you know... thing... in your... you know... woman's thing."
cybor,"OK. I'm pulling your sweat pants down and rubbing your hard tool."
cybor,"Oooohh yeah. I step out of the shower and I'm all wet and cold. Warm me up baby"
cybor,"Slip out of those pants baby, yeah."
cybor,"So you ready to do IT then?  You unbutton my pants, spew your load at the sight of my underwear, and your spent."
cybor,"So you're really a 18 yr old girl right?"
cybor,"Sweet, I start by rubbing your ass all around. You love this."
cybor,"Thats cool, so you wanna see my gun? I pull off my pants and show you my 'gun'."
cybor,"thats ok. ok i'm a japanese schoolgirl, what r u?"
cybor,"Then send me the picture."
cybor,"To your light bulb I am the Thomas Edison of your sex. Without my light you would be lost in a sea of darkness."
cybor,"You wanna cyber *name*? That'll be *creds* per min please."
cybor,"We are like two dancers, for whom the music never stops. I Kiss the top of your hand. You are taken aback by the bulge that forms pressed into your thigh."
cybor,"We're in my bedroom.There's soft music playing on the stereo and candles on my dresser and night table.I'm looking up into your eyes, smiling. My hand works its way down to your crotch and begins to fondle your huge, swelling bulge."
cybor,"Yeah, well I already unleashed my cauliflower, all over your olives, and up in your eyes. Now you can't see."
cybor,"Yes! Do it, baby! Do it!"
cybor,"You bend over to harvest your radishes."
cybor,"You carress my ass, and trim my pubes..."
cybor,"You sound sexy. I bet you want me in the back of your car..."
cybor,"You start getting frisky so I put my hand down your undies."
cybor,"You're wet already. I can smell your womanhood from here."
cybor,"Your pants are off. I kiss you passionately-our naked bodies pressing each other."
