# Table: fun
# Replaces: type=homer
# uuid: id
type,content
homer,"Your mom asked me to give you an apple instead"
homer,"Internet! Is that thing still around?"
homer,"Ah, beer, my one weakness. My Achille's heel, if you will."
homer,"Okay, whatever to take my mind off my life."
homer,"I voted for Prell to go back to the old glass bottle. Then I became deeply cynical. ( about voting )"
homer,"To find Flanders, I have to think like Flanders."
homer,"Rock stars ... is there anything they don't know?"
homer,"Well, maybe if he had had better arch support, they wouldn't have caught 'im. ( about Jesus wearing sandals )."
homer,"Ah, the college roadtrip. What better way to spread beer-fueled mayhem?"
homer,"All right, brain. You don't like me and I don't like you, but let's just do this and I can get back to killing you with beer."
homer,"All right, let's not panic. I'll make the money by selling one of my livers. I can get by with one."
homer,"America's health care system is second only to Japan ... Canada, Sweden, Great Britain ... well, all of Europe. But you can thank your lucky stars we don't live in Paraguay!"
homer,"If there's one thing I've learned, it's that life is one crushing defeat after another until you just wish Flanders was dead."
homer,"Dear Lord, the gods have been good to me. As an offering, I present these milk and cookies. If you wish me to eat them instead, please give me no sign whatsoever ... thy will be done. (munch munch munch)"
homer,"The girls of the internet. Ooh, I'd go online with them anyday! ( Looking at a ""nudie deck"" )"
homer,"If he is so smart, how come he is dead?"
homer,"This kid's a wonder!. He organized all the law suits against me into one class action suit."
homer,"I have to work overtime at work instead of spending time with my wife and kids, which is what I want."
homer,"Aaw! it's so hard to get to 500 words ( Homer, the food critic )."
homer,"The food was not undelicious."
homer,"I'll tell people what to think. Now you tell me what to think."
homer,"I hope you cut me better than you cut these string beans."
homer,"And how is education supposed to make me feel smarter? Besides, every time I learn something new, it pushes some old stuff out of my brain. Remember when I took that home winemaking course, and I forgot how to drive?"
homer,"Aw, Dad, you've done a lot of great things, but you're a very old man, and old people are useless."
homer,"If something goes wrong at the plant, blame the guy who can't speak English."
homer,"Lord, I know I shouldn't eat Thee, but ... (munch munch munch) mmm ... sacrelicious."
homer,"Awww, 20 dollars?!? I wanted a peanut."
homer,"I don't apologize. I am sorry Lisa, that's the way I am."
homer,"If it doesn't have siamese twins in a jar, it is not a fair."
homer,"WHO IS FONZY!?! Don't they teach you anything at school?"
homer,"It's twice the work of a deadbeat dad. ( about spending a saturday with kids )."
homer,"God cannot be EVERYWHERE, right? ( Homer as Adam in a dream )."
homer,"Screw that squeaky stuff. I want some hard antacid for my kid."
homer,"What's keeping Joan Rivers alive?"
homer,"Ooh! sensory depravation kicks ass!"
homer,"Oh! look at that car burn! Does it get any better than this?"
homer,"Bart, a woman is like beer. They look good, they smell good, and you'd step over your own mother just to get one!"
homer,"Bart, you're saying butt-kisser like it's a bad thing!"
homer,"Beer. Now there's a temporary solution."
homer,"Marge, can we go home? All this fresh air is making my hair move and I don't know how long I can complain. "
homer,"Black, marbelized with a liquid center. The Stealth Bowler. The pins don't know what hit 'em."
homer,"Dear Homer, IOU one emergency donut. Signed Homer. Bastard! He's always one step ahead."
homer,"To be loved, you have to be nice to others EVERYDAY!. To be hated, you don't have to do squat. ( advice to Mr.Burns )."
homer,"Do I know what rhetorical means?"
homer,"Do you want to change your name to Homer, Jr.? The kids can call you Hoju!"
homer,"Does whisky count as beer?"
homer,"Don't eat me. I have a wife and kids. Eat them."
homer,"Don't mess with the dead, boy, they have eerie powers."
homer,"Don't worry, son. I'm sure he's up in heaven right now laughing it up with all the other celebrities : John Dilinger, Ty Cobb, Joseph Stalin."
homer,"Donuts. Is there anything they can't do?"
homer,"Are you sure you're an accredited and honored pornographer?"
homer,"I can't believe that someone I've never heard of wants to hang out with a guy like me."
homer,"Facts are meaningless. You could use facts to prove anything that's even remotely true!"
homer,"First you don't want me to get the pony, then you want me to take it back. Make up your mind."
homer,"Getting out of jury duty is easy. The trick is to say you're prejudiced against all races. "
homer,"God bless those pagans."
homer,"Ah! I was voted most likely to be a mental patient or a hillbilly or a chimpanzee. ( Homer, the Outsider Artist )"
homer,"Stupid ice. I always knew I'll get stuck in something."
homer,"I get weary in this sexually suggestive dancing."
homer,"Marge, I think I'll remember my own LIFE!"
homer,"Marge, your paintings look like the things they look like."
homer,"What is a wedding? Webster's Dictionary defines a wedding as ""The process of removing weeds from one's garden."" ( giving a lecture on marriage )."
homer,"Good drink ... good meat ... good God, let's eat!"
homer,"Ha ha! Look at this country! You are gay!? Ha ha!"
homer,"Heh Heh Heh! Lisa! Vampires are make believe, just like elves and gremlins and eskimos!"
homer,"Here's to alcohol : The cause of ... and answer to all of life's problems."
homer,"Hey, I asked for ketchup! I'm eatin' salad here!"
homer,"I am so smart, I am so smart, s-m-r-t ... I mean s-m-A-r-t."
homer,"I bet Einstein turned himself into all sorts of colors before he invented the light bulb."
homer,"I can't believe it! Reading and writing actually paid off!"
homer,"I don't want to go, so if he asks me to go, I'll just say, 'Yes!'"
homer,"I guess you might say he barking up the wrong ... bush."
homer,"I hope I didn't brain my damage."
homer,"I know what you're saying, Bart. When I was young, I wanted an electric football machine more than anything else in the world, and my parents bought it for me, and it was the happiest day of my life. Well, goodnight."
homer,"I know you can read my thoughts, boy : Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow, Meow."
homer,"I like my beer cold ... my TV loud ... and my homosexuals flaming."
homer,"I promised my boy one simple thing : lots of riches, and that man broke my promise!"
homer,"I saw this movie about a bus that had to SPEED around a city, keeping its SPEED over fifty, and if its SPEED dropped, it would explode! I think it was called, ?he Bus That couldn't Slow Down."
homer,"I think the saddest day of my life was when I realized I could beat my Dad at most things, and Bart experienced that at the age of four."
homer,"I wonder where Bart is, his dinner's getting all cold ...... and eaten."
