# Table: fun
# Replaces: type=pirates
# uuid: id
type,content
pirates,"Lord Beckett: You're mad!<br>Jack Sparrow: well that's good cause If I wasn't, this'd probably never work."
pirates,"Barbossa: There's not been a gathering like this in our lifetime.<br>Jack Sparrow: And I owe them all money."
pirates,"Jack Sparrow: Did no one come to save me just because they missed me?"
pirates,"Elizabeth Swann: It never would've worked out between us.<br>Jack Sparrow: Keep telling yourself that, darling."
pirates,"Will Turner: We're going to steal a ship? That ship?<br>Jack Sparrow: Commandeer. We're going to commandeer that ship. "
pirates,"Norrington: You actually were telling the truth.<br>Jack Sparrow: I do that quite a lot. Yet people are always surprised."
pirates,"Elizabeth Swann: Why doesn't your compass work?<br>Jack Sparrow: ...My compass works fine."
pirates,"Will Turner: I'd die for her.<br>Jack Sparrow: Oh good. No worries then."
pirates,"Jack Sparrow: Do us a favor... I know it's difficult for you... but please, stay here, and try not to do anything... stupid."
pirates,"Jack Sparrow: [to Pintel and Ragetti] Guard the boat, mind the tide... don't touch my dirt."
pirates,"Will Turner: I row over, search the ship until I find your bloody key.<br>Jack Sparrow: And if there are crewmen?<br>Will Turner: I cut down anyone in my path.<br>Jack Sparrow: [turns to Gibbs] I like it. Simple, easy to remember. "
pirates,"Jack Sparrow: Me? I'm dishonest, and a dishonest man you can always trust to be dishonest. Honestly. It's the honest ones you want to watch out for, because you can never predict when they're going to do something incredibly... stupid. "
pirates,"Barbossa: How the blazes did you get off that island?<br>Jack Sparrow: When you marooned me on that god forsaken spit of land, you forgot one very important thing, mate: I'm Captain Jack Sparrow."
pirates,"Tia Dalma: [hands Jack a jar of dirt]<br>Jack Sparrow: Dirt. This is a jar of dirt.<br>Tia Dalma: Yes.<br>Jack Sparrow: Is the jar of dirt going to help?<br>Tia Dalma: If ya dont want it. Give it back."
pirates,"Man in Jail: The Black Pearl? I've heard stories. She's been preying on ships and settlements for near ten years. Never leaves any survivors.<br>Jack Sparrow: No survivors? Then where do the stories come from, I wonder?"
pirates,"Will Turner: You cheated.<br>Jack Sparrow: Pirate."
pirates,"Anamaria: You're daft, lady! You both are!<br>Gibbs: Daft like Jack."
pirates,"Elizabeth Swann: This is the fastest ship in the Caribbean.<br>Anamaria: You can tell them that after they've caught us."
pirates,"Pintel: You're supposed to be dead!<br>Jack Sparrow: Am I not?"
pirates,"Jack Sparrow: If you were waiting for the opportune moment, that was it."
pirates,"Elizabeth Swann: You're despicable.<br>Jack Sparrow: Sticks and stones, love. I saved your life, you saved mine. We're square."
pirates,"Jack Sparrow: You seem somewhat familiar. Have I threatened you before?<br>Will Turner: I make a point of avoiding familiarity with pirates."
