# table: effect_value
effect_id,name,q200_value
1,"AC Faded",162
2,"AC Bright",243
3,"AC Shining",405
4,"AC Faded QL300",275
5,"AC Bright QL300",412
6,"AC Shining QL300",687
7,"Life/Nano Faded",162
8,"Life/Nano Bright",243
9,"Life/Nano Shining",405
10,"Life/Nano Faded QL300",220
11,"Life/Nano Bright QL300",330
12,"Life/Nano Shining QL300",550
13,"AddAll Faded",52
14,"AddAll Bright",78
15,"AddAll Shining",130
16,"AddAll Faded QL300",70
17,"AddAll Bright QL300",105
18,"AddAll Shining QL300",175
19,"MaxNCU Faded",12
20,"MaxNCU Bright",18
21,"MaxNCU Shining",30
22,"MaxNCU Faded QL300",16
23,"MaxNCU Bright QL300",23
24,"MaxNCU Shining QL300",39
25,"XPMod Faded",3
26,"XPMod Bright",4
27,"XPMod Shining",7
28,"XPMod Faded QL300",3
29,"XPMod Bright QL300",5
30,"XPMod Shining QL300",8
31,"Nano Interrupt Faded",-2
32,"Nano Interrupt Bright",-3
33,"Nano Interrupt Shining",-5
34,"Nano Interrupt Faded QL300",-3
35,"Nano Interrupt Bright QL300",-5
36,"Nano Interrupt Shining QL300",-9
37,"Shield Faded",8
38,"Shield Bright",12
39,"Shield Shining",20
40,"Shield Faded QL300",10
41,"Shield Bright QL300",15
42,"Shield Shining QL300",25
43,"Damage Faded",7
44,"Damage Bright",10
45,"Damage Shining",18
46,"Damage Faded QL300",9
47,"Damage Bright QL300",13
48,"Damage Shining QL300",22
49,"Range Faded",6
50,"Range Bright",9
51,"Range Shining",15
52,"Range Faded QL300",7
53,"Range Bright QL300",11
54,"Range Shining QL300",19
55,"Nano Cost Faded",-1
56,"Nano Cost Bright",-2
57,"Nano Cost Shining",-2
58,"Nano Cost Faded QL300",-2
59,"Nano Cost Bright QL300",-3
60,"Nano Cost Shining QL300",-5
61,"Skill Faded ",42
62,"Skill Bright",63
63,"Skill Shining",105
64,"Ability Faded",22
65,"Ability Bright",33
66,"Ability Shining",55
67,"Skill Faded QL300",57
68,"Skill Bright QL300",85
69,"Skill Shining QL300",141
70,"Ability Faded QL300",29
71,"Ability Bright QL300",44
72,"Ability Shining QL300",73
