# table: implant_matrix
id,shining_id,bright_id,faded_id,ability_id,treat_ql1,ability_ql1,treat_ql200,ability_ql200,treat_ql201,ability_ql201,treat_ql300,ability_ql300
1,102,109,0,21,11,16,1005,464,1001,476,2051,1231
2,87,3,100,21,11,16,1005,414,1001,426,2051,1095
3,95,13,20,16,11,16,1005,464,1001,476,2051,1231
4,11,61,15,18,11,6,951,404,1001,426,2051,1095
5,60,54,13,17,11,6,951,404,1001,426,2051,1095
6,40,86,83,19,11,6,951,404,1001,426,2051,1095
7,64,86,80,19,11,6,951,404,1001,426,2051,1095
8,66,38,56,19,11,6,951,404,1001,426,2051,1095
9,25,27,42,17,11,6,951,404,1001,426,2051,1095
10,100,0,18,18,11,16,1005,414,1001,426,2051,1095
11,38,49,86,20,11,6,951,404,1001,426,2051,1095
12,21,0,0,17,11,6,951,404,1001,426,2051,1095
13,8,49,63,17,11,6,951,404,1001,426,2051,1095
14,8,49,73,17,11,6,951,404,1001,426,2051,1095
15,96,73,57,16,11,16,1005,464,1001,476,2051,1231
16,0,0,72,21,11,6,951,404,1001,426,2051,1095
17,86,79,30,19,11,6,951,404,1001,426,2051,1095
18,100,29,57,16,11,16,1005,464,1001,476,2051,1231
19,0,63,62,19,11,6,951,404,1001,426,2051,1095
20,30,42,33,18,11,6,951,404,1001,426,2051,1095
21,6,27,108,18,11,16,1005,414,1001,426,2051,1095
22,81,67,82,19,11,6,951,404,1001,426,2051,1095
23,103,94,106,21,11,16,1005,464,1001,476,2051,1231
24,39,73,8,17,11,6,951,404,1001,426,2051,1095
25,87,50,95,21,11,16,1005,414,1001,426,2051,1095
26,31,38,80,20,11,6,951,404,1001,426,2051,1095
27,0,0,58,17,11,6,951,404,1001,426,2051,1095
28,94,13,8,16,11,16,1005,464,1001,476,2051,1231
29,94,9,26,16,11,16,1005,464,1001,476,2051,1231
30,108,94,68,21,11,16,1005,464,1001,476,2051,1231
31,25,28,108,17,11,16,1005,414,1001,426,2051,1095
32,68,44,40,17,11,6,951,404,1001,426,2051,1095
33,96,79,20,16,11,16,1005,464,1001,476,2051,1231
34,33,17,69,16,11,6,951,404,1001,426,2051,1095
35,7,28,108,18,11,16,1005,414,1001,426,2051,1095
36,0,9,35,17,11,6,951,404,1001,426,2051,1095
37,86,29,57,19,11,6,951,404,1001,426,2051,1095
38,43,22,0,21,11,6,951,404,1001,426,2051,1095
39,14,15,0,17,11,6,951,404,1001,426,2051,1095
40,70,3,97,17,11,16,1005,414,1001,426,2051,1095
41,0,6,24,18,11,6,951,404,1001,426,2051,1095
42,92,21,38,20,11,16,1005,464,1001,476,2051,1231
43,67,33,100,17,11,16,1005,414,1001,426,2051,1095
44,0,17,55,20,11,6,951,404,1001,426,2051,1095
45,8,72,12,17,11,6,951,404,1001,426,2051,1095
46,81,86,71,19,11,6,951,404,1001,426,2051,1095
47,82,35,79,19,11,6,951,404,1001,426,2051,1095
48,0,4,78,16,11,6,951,404,1001,426,2051,1095
49,69,16,100,17,11,16,1005,414,1001,426,2051,1095
50,0,59,41,16,11,6,951,404,1001,426,2051,1095
51,78,27,107,18,11,16,1005,414,1001,426,2051,1095
52,26,51,86,19,11,6,951,404,1001,426,2051,1095
53,0,3,100,17,11,16,1005,414,1001,426,2051,1095
54,96,73,3,16,11,16,1005,464,1001,476,2051,1231
55,99,29,30,16,11,16,1005,464,1001,476,2051,1231
56,60,3,97,17,11,16,1005,414,1001,426,2051,1095
57,47,10,6,18,11,6,951,404,1001,426,2051,1095
58,106,109,0,21,11,16,1005,464,1001,476,2051,1231
59,5,14,44,17,11,6,951,404,1001,426,2051,1095
60,16,0,44,20,11,6,951,404,1001,426,2051,1095
61,83,72,79,20,11,6,951,404,1001,426,2051,1095
62,68,53,75,17,11,6,951,404,1001,426,2051,1095
63,45,86,56,19,11,6,951,404,1001,426,2051,1095
64,59,90,29,16,11,16,1005,414,1001,426,2051,1095
65,76,36,43,18,11,6,951,404,1001,426,2051,1095
66,8,18,79,17,11,6,951,404,1001,426,2051,1095
