# table: symbiant
id,name,ql,slot_id,treatment_req,level_req,unit
236309,"Active Brain Symbiant, Control Unit Aban",170,2,1011,125,Control
235859,"Active Brain Symbiant, Extermination Unit Aban",170,2,1011,125,Extermination
235468,"Active Chest Symbiant, Artillery Unit Aban",170,4,1011,125,Artillery
236360,"Active Chest Symbiant, Control Unit Aban",170,4,1011,125,Control
235911,"Active Chest Symbiant, Extermination Unit Aban",170,4,1011,125,Extermination
235689,"Active Chest Symbiant, Infantry Unit Aban",170,4,1011,125,Infantry
235436,"Active Ear Symbiant, Artillery Unit Aban",170,3,1011,125,Artillery
236325,"Active Ear Symbiant, Control Unit Aban",170,3,1011,125,Control
235657,"Active Ear Symbiant, Infantry Unit Aban",170,3,1011,125,Infantry
235607,"Active Feet Symbiant, Artillery Unit Aban",170,7,1011,125,Artillery
236050,"Active Feet Symbiant, Extermination Unit Aban",170,7,1011,125,Extermination
235827,"Active Feet Symbiant, Infantry Unit Aban",170,7,1011,125,Infantry
236277,"Active Feet Symbiant, Support Unit Aban",170,7,1011,125,Support
236376,"Active Left Arm Symbiant, Control Unit Aban",170,8,1011,125,Control
235929,"Active Left Arm Symbiant, Extermination Unit Aban",170,8,1011,125,Extermination
236264,"Active Left Hand Symbiant, Support Unit Aban",170,10,1011,125,Support
235979,"Active Left Wrist Symbiant, Extermination Unit Aban",170,9,1011,125,Extermination
219135,"Active Ocular Symbiant, Artillery Unit Aban",170,1,1011,125,Artillery
235843,"Active Ocular Symbiant, Extermination Unit Aban",170,1,1011,125,Extermination
236069,"Active Ocular Symbiant, Support Unit Aban",170,1,1011,125,Support
235894,"Active Right Arm Symbiant, Extermination Unit Aban",170,11,1011,125,Extermination
235673,"Active Right Arm Symbiant, Infantry Unit Aban",170,11,1011,125,Infantry
236116,"Active Right Arm Symbiant, Support Unit Aban",170,11,1011,125,Support
235556,"Active Right Hand Symbiant, Artillery Unit Aban",170,13,1011,125,Artillery
236450,"Active Right Hand Symbiant, Control Unit Aban",170,13,1011,125,Control
235999,"Active Right Hand Symbiant, Extermination Unit Aban",170,13,1011,125,Extermination
236230,"Active Right Hand Symbiant, Support Unit Aban",170,13,1011,125,Support
236394,"Active Right Wrist Symbiant, Control Unit Aban",170,12,1011,125,Control
235949,"Active Right Wrist Symbiant, Extermination Unit Aban",170,12,1011,125,Extermination
236178,"Active Right Wrist Symbiant, Support Unit Aban",170,12,1011,125,Support
236466,"Active Thigh Symbiant, Control Unit Aban",170,6,1011,125,Control
236017,"Active Thigh Symbiant, Extermination Unit Aban",170,6,1011,125,Extermination
235792,"Active Thigh Symbiant, Infantry Unit Aban",170,6,1011,125,Infantry
236244,"Active Thigh Symbiant, Support Unit Aban",170,6,1011,125,Support
235521,"Active Waist Symbiant, Artillery Unit Aban",170,5,1011,125,Artillery
235962,"Active Waist Symbiant, Extermination Unit Aban",170,5,1011,125,Extermination
235739,"Active Waist Symbiant, Infantry Unit Aban",170,5,1011,125,Infantry
236197,"Active Waist Symbiant, Support Unit Aban",170,5,1011,125,Support
235644,"Alert Brain Symbiant, Infantry Unit Aban",280,2,1942,205,Infantry
236090,"Alert Brain Symbiant, Support Unit Aban",280,2,1942,205,Support
236365,"Alert Chest Symbiant, Control Unit Aban",280,4,1942,205,Control
235662,"Alert Ear Symbiant, Infantry Unit Aban",280,3,1942,205,Infantry
236282,"Alert Feet Symbiant, Support Unit Aban",280,7,1942,205,Support
235934,"Alert Left Arm Symbiant, Extermination Unit Aban",280,8,1942,205,Extermination
236488,"Alert Left Hand Symbiant, Control Unit Aban",280,10,1942,205,Control
