# table: symbiant_ability_matrix
symbiant_id,ability_id,amount
236309,17,383
236309,19,383
236309,21,383
235859,18,383
235859,19,383
235859,21,383
235468,16,383
235468,17,383
235468,21,383
236360,18,383
236360,19,383
236360,21,383
235911,18,383
235911,19,383
235911,21,383
235689,16,383
235689,17,383
235689,18,383
235436,16,383
235436,17,383
235436,20,383
236325,17,383
236325,19,383
236325,21,383
235657,16,383
235657,18,383
235657,20,383
235607,16,383
235607,17,383
235607,20,383
236050,17,383
236050,19,383
236050,21,383
235827,16,383
235827,18,383
235827,21,383
236277,17,383
236277,18,383
236277,20,383
236376,19,383
236376,20,383
236376,21,383
235929,16,383
235929,19,383
235929,21,383
236264,17,383
236264,20,383
236264,21,383
235979,17,383
235979,19,383
235979,21,383
219135,16,383
219135,17,383
219135,20,383
235843,19,383
235843,20,383
235843,21,383
236069,16,383
236069,17,383
236069,20,383
235894,17,383
235894,19,383
235894,21,383
235673,16,383
235673,17,383
235673,18,383
236116,16,383
236116,17,383
236116,20,383
235556,16,383
235556,17,383
235556,21,383
236450,16,383
236450,19,383
236450,21,383
235999,18,383
235999,19,383
235999,21,383
236230,16,383
236230,17,383
236230,20,383
236394,16,383
236394,19,383
236394,21,383
235949,19,383
235949,20,383
235949,21,383
236178,17,383
236178,20,383
236178,21,383
236466,17,383
236466,19,383
236466,21,383
236017,19,383
236017,20,383
236017,21,383
235792,16,383
235792,18,383
235792,19,383
236244,17,383
236244,19,383
236244,20,383
235521,16,383
235521,17,383
235521,18,383
235962,16,383
235962,19,383
235962,21,383
235739,16,383
235739,18,383
235739,19,383
236197,16,383
236197,17,383
236197,20,383
235644,16,1191
235644,18,1191
235644,19,1191
236090,17,1191
236090,19,1191
236090,20,1191
236365,18,1191
236365,19,1191
236365,21,1191
235662,16,1191
235662,18,1191
235662,20,1191
236282,17,1191
236282,18,1191
236282,20,1191
235934,16,1191
235934,19,1191
235934,21,1191
236488,18,1191
236488,19,1191
236488,21,1191
236038,16,1191
236038,19,1191
236038,21,1191
235542,16,1191
235542,17,1191
235542,19,1191
235986,17,1191
235986,19,1191
235986,21,1191
236298,19,1191
236298,20,1191
236298,21,1191
235847,19,1191
235847,20,1191
235847,21,1191
235630,16,1191
235630,18,1191
235630,20,1191
235899,17,1191
235899,19,1191
235899,21,1191
235561,16,1191
235561,17,1191
235561,21,1191
235727,16,1191
235727,18,1191
235727,21,1191
235577,16,1191
235577,17,1191
235577,18,1191
235525,16,1191
235525,17,1191
235525,18,1191
235967,16,1191
235967,19,1191
235967,21,1191
236199,16,1191
236199,17,1191
236199,20,1191
235854,18,159
235854,19,159
235854,21,159
235463,16,159
235463,17,159
235463,21,159
236320,17,159
236320,19,159
236320,21,159
235651,16,159
235651,18,159
235651,20,159
236098,17,159
236098,19,159
236098,20,159
236495,19,159
236495,20,159
236495,21,159
236046,17,159
236046,19,159
236046,21,159
235703,16,159
235703,18,159
235703,21,159
236029,16,159
236029,19,159
236029,21,159
235753,16,159
235753,18,159
235753,20,159
219130,16,159
219130,17,159
219130,20,159
236289,19,159
236289,20,159
236289,21,159
235840,19,159
235840,20,159
235840,21,159
235621,16,159
235621,18,159
235621,20,159
236063,16,159
236063,17,159
236063,20,159
235448,16,159
235448,17,159
235448,18,159
235891,17,159
235891,19,159
235891,21,159
235770,16,159
235770,18,159
235770,20,159
236224,16,159
236224,17,159
236224,20,159
235499,16,159
235499,17,159
235499,20,159
236391,16,159
236391,19,159
236391,21,159
235943,19,159
235943,20,159
235943,21,159
235719,16,159
235719,18,159
235719,21,159
236172,17,159
236172,20,159
236172,21,159
236461,17,159
236461,19,159
236461,21,159
236011,19,159
236011,20,159
236011,21,159
236242,17,159
236242,19,159
236242,20,159
235735,16,159
235735,18,159
235735,19,159
236191,16,159
236191,17,159
236191,20,159
235416,16,406
235416,17,406
235416,19,406
235860,18,406
235860,19,406
235860,21,406
235643,16,406
235643,18,406
235643,19,406
235469,16,406
235469,17,406
235469,21,406
236361,18,406
236361,19,406
236361,21,406
235912,18,406
235912,19,406
235912,21,406
235690,16,406
235690,17,406
235690,18,406
236136,17,406
236136,18,406
236136,20,406
235437,16,406
235437,17,406
235437,20,406
236326,17,406
236326,19,406
236326,21,406
235876,16,406
235876,19,406
235876,21,406
236104,17,406
236104,19,406
236104,20,406
236278,17,406
236278,18,406
236278,20,406
235487,16,406
235487,17,406
235487,21,406
235930,16,406
235930,19,406
235930,21,406
236157,17,406
236157,20,406
236157,21,406
236033,16,406
236033,19,406
236033,21,406
235980,17,406
235980,19,406
235980,21,406
235759,16,406
235759,18,406
235759,20,406
236215,17,406
236215,19,406
236215,20,406
235454,16,406
235454,17,406
235454,18,406
235674,16,406
235674,17,406
235674,18,406
236117,16,406
236117,17,406
236117,20,406
236451,16,406
236451,19,406
236451,21,406
236231,16,406
236231,17,406
236231,20,406
236467,17,406
236467,19,406
236467,21,406
236018,19,406
236018,20,406
236018,21,406
235793,16,406
235793,18,406
235793,19,406
236245,17,406
236245,19,406
236245,20,406
236414,17,406
236414,19,406
236414,21,406
235740,16,406
235740,18,406
235740,19,406
235411,16,226
235411,17,226
235411,19,226
235856,18,226
235856,19,226
235856,21,226
235907,18,226
235907,19,226
235907,21,226
235431,16,226
235431,17,226
235431,20,226
235653,16,226
235653,18,226
235653,20,226
236100,17,226
236100,19,226
236100,20,226
236275,17,226
236275,18,226
236275,20,226
235485,16,226
235485,17,226
235485,21,226
236373,19,226
236373,20,226
236373,21,226
235706,16,226
235706,18,226
235706,21,226
236153,17,226
236153,20,226
236153,21,226
236481,18,226
236481,19,226
236481,21,226
236030,16,226
236030,19,226
236030,21,226
236259,17,226
236259,20,226
236259,21,226
235535,16,226
235535,17,226
235535,19,226
235755,16,226
235755,18,226
235755,20,226
236210,17,226
236210,19,226
236210,20,226
219132,16,226
219132,17,226
219132,20,226
236065,16,226
236065,17,226
