# table: symbiant_cluster_matrix
symbiant_id,cluster_id,amount
204613,42,40
204613,72,27
204613,40,20
204613,54,50
204613,43,60
204647,77,6
204647,7,6
204647,76,6
204647,37,6
204647,71,6
204647,61,6
204647,72,10
204647,41,10
204647,10,10
204647,62,10
204647,40,50
204647,79,10
204649,72,1
204649,41,1
204649,10,1
204649,62,1
204649,40,2
204649,79,1
204649,54,30
204649,43,195
204650,42,150
204650,77,3
204650,76,12
204650,36,200
204650,47,200
204650,27,200
204650,17,200
204650,65,200
204650,19,200
204650,112,200
204650,30,200
204650,10,4
204651,42,30
204651,77,29
204651,14,29
204651,99,15
204651,97,15
204651,95,15
204651,94,15
204651,100,15
204651,96,15
204651,98,15
206246,42,40
206246,77,7
206246,7,7
206246,76,7
206246,37,7
206246,71,22
206246,61,7
206246,72,6
206246,41,6
206246,10,6
206246,62,6
206246,40,107
206246,79,6
206246,54,20
206246,43,130
206247,42,105
206247,39,5
206247,14,5
206247,69,20
206247,55,70
206247,25,10
206247,24,10
206247,28,10
206247,90,22
206247,99,10
206247,97,10
206247,95,10
206247,94,10
206247,100,10
206247,96,10
206247,98,10
219124,73,1
219124,34,1
219124,35,1
219124,12,1
219124,60,1
219124,68,1
219124,9,1
219124,72,1
219124,81,1
219124,26,1
219124,62,1
219124,40,1
219124,79,1
219124,66,1
219124,50,1
219124,8,1
219124,20,1
219124,63,1
219124,130,1
219125,73,2
219125,34,3
219125,35,3
219125,12,2
219125,60,2
219125,68,3
219125,9,2
219125,72,3
219125,81,3
219125,26,3
219125,62,3
219125,40,2
219125,79,2
219125,66,3
219125,50,2
219125,8,3
219125,20,3
219125,63,2
219125,130,1
219126,73,4
219126,34,6
219126,35,6
219126,12,4
219126,60,4
219126,68,9
219126,9,4
219126,72,6
219126,81,6
219126,26,9
219126,62,6
219126,40,4
219126,79,4
219126,66,6
219126,50,4
219126,8,9
219126,20,6
219126,63,4
219126,130,2
219127,73,5
219127,34,7
219127,35,7
219127,12,5
219127,60,5
219127,68,11
219127,9,5
219127,72,7
219127,81,7
219127,26,11
219127,62,7
219127,40,5
219127,79,5
219127,66,7
219127,50,5
219127,8,11
219127,20,7
219127,63,5
219127,130,2
219128,73,7
219128,34,10
219128,35,10
219128,12,7
219128,60,7
219128,68,16
219128,9,7
219128,72,10
219128,81,10
219128,26,16
219128,62,10
219128,40,7
219128,79,7
219128,66,10
219128,50,7
219128,8,16
219128,20,10
219128,63,7
219128,130,3
219129,73,11
219129,34,16
219129,35,16
219129,12,11
219129,60,11
219129,68,26
219129,9,11
219129,72,16
219129,81,16
219129,26,26
219129,62,16
219129,40,11
219129,79,11
219129,66,16
219129,50,11
219129,8,26
219129,20,16
219129,63,11
219129,130,3
219130,73,15
219130,34,22
219130,35,22
219130,12,15
219130,60,15
219130,68,36
219130,9,15
219130,72,22
219130,81,22
219130,26,36
219130,62,22
219130,40,15
219130,79,15
219130,66,22
219130,50,15
219130,8,36
219130,20,22
219130,63,15
219130,130,5
219131,73,19
219131,34,28
219131,35,28
219131,12,19
219131,60,19
219131,68,46
219131,9,19
219131,72,28
219131,81,28
219131,26,46
219131,62,28
219131,40,19
219131,79,19
219131,66,28
219131,50,19
219131,8,46
219131,20,28
219131,63,19
219131,130,5
219132,73,21
219132,34,31
219132,35,31
219132,12,21
219132,60,21
219132,68,51
219132,9,21
219132,72,31
219132,81,31
219132,26,51
219132,62,31
219132,40,21
219132,79,21
219132,66,31
219132,50,21
219132,8,51
219132,20,31
219132,63,21
219132,130,6
219133,73,29
219133,34,43
219133,35,43
219133,12,29
219133,60,29
219133,68,71
219133,9,29
219133,72,43
219133,81,43
219133,26,71
219133,62,43
219133,40,29
219133,79,29
219133,66,43
219133,50,29
219133,8,71
219133,20,43
219133,63,29
219133,130,8
219134,73,31
219134,34,46
219134,35,46
219134,12,31
219134,60,31
219134,68,76
219134,9,31
219134,72,46
219134,81,46
219134,26,76
219134,62,46
219134,40,31
219134,79,31
219134,66,46
219134,50,31
219134,8,76
219134,20,46
219134,63,31
219134,130,9
219135,73,35
219135,34,52
219135,35,52
219135,12,35
219135,60,35
219135,68,86
219135,9,35
219135,72,52
219135,81,52
219135,26,86
219135,62,52
219135,40,35
219135,79,35
219135,66,52
219135,50,35
219135,8,86
219135,20,52
219135,63,35
219135,130,9
219136,73,39
219136,34,58
219136,35,58
219136,12,39
219136,60,39
219136,68,96
219136,9,39
219136,72,58
219136,81,58
219136,26,96
219136,62,58
219136,40,39
219136,79,39
219136,66,58
219136,50,39
219136,8,96
219136,20,58
219136,63,39
219136,130,11
219137,73,47
219137,34,70
219137,35,70
219137,12,47
219137,60,47
219137,68,116
219137,9,47
219137,72,70
219137,81,70
219137,26,116
219137,62,70
219137,40,47
219137,79,47
219137,66,70
219137,50,47
219137,8,116
219137,20,70
219137,63,47
219137,130,13
219138,73,54
219138,34,82
219138,35,82
219138,12,54
219138,60,54
219138,68,135
219138,9,54
219138,72,82
219138,81,82
219138,26,135
219138,62,82
219138,40,54
219138,79,54
219138,66,82
219138,50,54
219138,8,135
219138,20,82
219138,63,54
219138,130,15
219139,73,55
219139,34,83
219139,35,83
219139,12,55
219139,60,55
219139,68,137
219139,9,55
219139,72,83
219139,81,83
219139,26,137
219139,62,83
219139,40,55
219139,79,55
219139,66,83
219139,50,55
219139,8,137
219139,20,83
219139,63,55
219139,130,15
219140,73,45
219140,34,67
219140,35,67
219140,12,45
219140,60,45
219140,68,111
219140,9,45
219140,72,67
219140,81,67
219140,26,111
219140,62,67
219140,40,45
219140,79,45
219140,66,67
219140,50,45
219140,8,111
219140,20,67
219140,63,45
219140,130,12
235405,67,1
235405,13,1
235405,72,1
235405,81,1
235405,41,1
235405,10,1
235405,62,1
235405,40,1
235405,79,1
235405,66,1
235405,56,1
235405,20,1
235406,67,3
235406,13,3
235406,72,3
235406,81,3
235406,41,3
235406,10,3
235406,62,3
235406,40,3
235406,79,3
235406,66,3
235406,56,2
235406,20,3
235407,67,10
235407,13,16
235407,72,16
235407,81,16
235407,41,16
235407,10,16
235407,62,16
235407,40,16
235407,79,16
235407,66,16
235407,56,7
235407,20,16
235408,67,13
235408,13,21
235408,72,21
235408,81,21
235408,41,21
235408,10,21
235408,62,21
235408,40,21
235408,79,21
235408,66,21
235408,56,9
235408,20,21
235409,67,19
235409,13,31
235409,72,31
235409,81,31
235409,41,31
235409,10,31
235409,62,31
235409,40,31
235409,79,31
235409,66,31
235409,56,13
235409,20,31
235410,67,25
235410,13,41
235410,72,41
235410,81,41
235410,41,41
235410,10,41
235410,62,41
235410,40,41
235410,79,41
235410,66,41
235410,56,17
235410,20,41
235411,67,31
235411,13,51
235411,72,51
235411,81,51
235411,41,51
235411,10,51
235411,62,51
235411,40,51
235411,79,51
235411,66,51
235411,56,21
235411,20,51
235412,67,34
235412,13,56
235412,72,56
235412,81,56
235412,41,56
235412,10,56
235412,62,56
235412,40,56
235412,79,56
235412,66,56
235412,56,23
235412,20,56
235413,67,37
235413,13,61
235413,72,61
235413,81,61
235413,41,61
235413,10,61
235413,62,61
235413,40,61
235413,79,61
235413,66,61
235413,56,25
235413,20,61
235414,67,40
235414,13,66
235414,72,66
235414,81,66
235414,41,66
235414,10,66
235414,62,66
235414,40,66
235414,79,66
235414,66,66
235414,56,27
235414,20,66
235415,67,43
235415,13,71
235415,72,71
235415,81,71
235415,41,71
235415,10,71
235415,62,71
235415,40,71
235415,79,71
235415,66,71
235415,56,29
235415,20,71
235416,67,55
235416,13,91
235416,72,91
235416,81,91
235416,41,91
235416,10,91
235416,62,91
235416,40,91
235416,79,91
235416,66,91
235416,56,37
235416,20,91
235417,67,61
235417,13,101
235417,72,101
235417,81,101
235417,41,101
235417,10,101
235417,62,101
235417,40,101
235417,79,101
235417,66,101
235417,56,41
235417,20,101
235418,67,67
235418,13,111
235418,72,111
235418,81,111
235418,41,111
235418,10,111
235418,62,111
235418,40,111
235418,79,111
235418,66,111
235418,56,45
235418,20,111
235419,67,76
235419,13,126
235419,72,126
235419,81,126
235419,41,126
235419,10,126
235419,62,126
235419,40,126
235419,79,126
235419,66,126
235419,56,51
235419,20,126
235420,67,77
235420,13,128
235420,72,128
235420,81,128
235420,41,128
235420,10,128
235420,62,128
235420,40,128
235420,79,128
235420,66,128
235420,56,52
235420,20,128
235421,67,82
235421,13,135
235421,72,135
235421,81,135
235421,41,135
235421,10,135
235421,62,135
235421,40,135
235421,79,135
235421,66,135
235421,56,54
235421,20,135
235422,67,83
235422,13,137
235422,72,137
235422,81,137
235422,41,137
235422,10,137
235422,62,137
235422,40,137
235422,79,137
235422,66,137
235422,56,55
235422,20,137
235423,62,1
235423,38,1
235423,82,1
235423,21,1
235423,91,1
235424,62,2
235424,38,2
235424,82,3
235424,21,3
235424,91,2
235425,62,3
235425,38,3
235425,82,4
235425,21,4
235425,91,2
235426,62,5
235426,38,5
235426,82,7
235426,21,7
235426,91,3
235427,62,7
235427,38,7
235427,82,10
235427,21,10
235427,91,5
235428,62,9
235428,38,9
235428,82,13
235428,21,13
235428,91,6
235429,62,13
235429,38,13
235429,82,19
235429,21,19
235429,91,9
235430,62,17
235430,38,17
235430,82,25
235430,21,25
235430,91,11
235431,62,21
235431,38,21
235431,82,31
235431,21,31
235431,91,13
235432,62,23
235432,38,23
235432,82,34
235432,21,34
235432,91,15
235433,62,27
235433,38,27
235433,82,40
235433,21,40
235433,91,17
235434,62,29
235434,38,29
235434,82,43
235434,21,43
235434,91,19
235435,62,31
235435,38,31
235435,82,46
235435,21,46
235435,91,20
235436,62,35
235436,38,35
235436,82,52
235436,21,52
235436,91,22
235437,62,37
235437,38,37
235437,82,55
235437,21,55
235437,91,23
235438,62,52
235438,38,52
235438,82,77
235438,21,77
235438,91,33
235439,62,53
235439,38,53
235439,82,79
235439,21,79
235439,91,33
235440,62,55
235440,38,55
235440,82,83
235440,21,83
235440,91,35
235441,34,1
235441,35,1
235441,48,1
235441,74,1
235441,9,1
235441,32,1
235441,33,1
235441,90,1
235441,89,1
235441,130,1
235441,111,1
235442,34,3
235442,35,3
235442,48,3
235442,74,3
235442,9,3
235442,32,3
235442,33,3
235442,90,1
235442,89,3
235442,130,1
235442,111,1
235443,34,6
235443,35,6
235443,48,6
235443,74,6
235443,9,6
235443,32,6
235443,33,6
235443,90,2
235443,89,5
235443,130,1
235443,111,1
235444,34,13
235444,35,13
235444,48,13
235444,74,13
235444,9,13
235444,32,13
235444,33,13
235444,90,3
235444,89,10
235444,130,2
235444,111,2
235445,34,21
235445,35,21
235445,48,21
235445,74,21
235445,9,21
235445,32,21
235445,33,21
235445,90,4
235445,89,16
235445,130,2
235445,111,2
235446,34,26
235446,35,26
235446,48,26
235446,74,26
235446,9,26
235446,32,26
235446,33,26
235446,90,5
235446,89,20
235446,130,2
235446,111,2
235447,34,31
235447,35,31
235447,48,31
235447,74,31
235447,9,31
235447,32,31
235447,33,31
235447,90,6
235447,89,24
235447,130,2
235447,111,2
235448,34,36
235448,35,36
235448,48,36
235448,74,36
235448,9,36
235448,32,36
235448,33,36
235448,90,6
235448,89,27
235448,130,2
235448,111,2
235449,34,41
235449,35,41
235449,48,41
235449,74,41
235449,9,41
235449,32,41
235449,33,41
235449,90,7
235449,89,31
235449,130,3
235449,111,3
235450,34,51
235450,35,51
235450,48,51
235450,74,51
235450,9,51
235450,32,51
235450,33,51
235450,90,9
235450,89,39
235450,130,3
235450,111,3
235451,34,61
235451,35,61
235451,48,61
235451,74,61
235451,9,61
235451,32,61
235451,33,61
235451,90,10
235451,89,46
235451,130,3
235451,111,3
235452,34,66
235452,35,66
235452,48,66
235452,74,66
235452,9,66
235452,32,66
235452,33,66
235452,90,11
235452,89,50
235452,130,4
235452,111,4
235453,34,81
235453,35,81
235453,48,81
235453,74,81
235453,9,81
235453,32,81
235453,33,81
235453,90,13
235453,89,61
235453,130,4
235453,111,4
235454,34,91
235454,35,91
235454,48,91
235454,74,91
235454,9,91
235454,32,91
235454,33,91
235454,90,15
235454,89,69
235454,130,5
235454,111,5
235455,34,96
235455,35,96
235455,48,96
235455,74,96
235455,9,96
235455,32,96
235455,33,96
235455,90,15
235455,89,72
235455,130,5
235455,111,5
235456,34,111
235456,35,111
235456,48,111
235456,74,111
235456,9,111
235456,32,111
235456,33,111
235456,90,18
235456,89,84
235456,130,5
235456,111,5
235457,34,137
235457,35,137
235457,48,137
235457,74,137
235457,9,137
235457,32,137
235457,33,137
235457,90,21
235457,89,103
235457,130,7
235457,111,7
235458,42,3
235458,77,1
235458,76,1
