# table: symbiant_profession_matrix
symbiant_id,profession_id
236309,7
236309,8
236309,12
236309,3
235859,11
235859,8
235859,12
235468,7
235468,6
235468,5
235468,1
235468,4
236360,7
236360,8
236360,12
236360,3
235911,11
235911,8
235911,12
235689,6
235689,9
235689,2
235689,14
235436,7
235436,6
235436,5
235436,1
235436,4
236325,7
236325,8
236325,12
236325,3
235657,6
235657,9
235657,2
235657,14
235607,7
235607,6
235607,5
235607,1
235607,4
236050,11
236050,8
236050,12
235827,6
235827,9
235827,2
235827,14
236277,7
236277,6
236277,12
236277,2
236277,14
236277,10
236277,4
236376,7
236376,8
236376,12
236376,3
235929,11
235929,8
235929,12
236264,7
236264,6
236264,12
236264,2
236264,14
236264,10
236264,4
235979,11
235979,8
235979,12
219135,7
219135,6
219135,5
219135,1
219135,4
235843,11
235843,8
235843,12
236069,7
236069,6
236069,12
236069,2
236069,14
236069,10
236069,4
235894,11
235894,8
235894,12
235673,6
235673,9
235673,2
235673,14
236116,7
236116,6
236116,12
236116,2
236116,14
236116,10
236116,4
235556,7
235556,6
235556,5
235556,1
235556,4
236450,7
236450,8
236450,12
236450,3
235999,11
235999,8
235999,12
236230,7
236230,6
236230,12
236230,2
236230,14
236230,10
236230,4
236394,7
236394,8
236394,12
236394,3
235949,11
235949,8
235949,12
236178,7
236178,6
236178,12
236178,2
236178,14
236178,10
236178,4
236466,7
236466,8
236466,12
236466,3
236017,11
236017,8
236017,12
235792,6
235792,9
235792,2
235792,14
236244,7
236244,6
236244,12
236244,2
236244,14
236244,10
236244,4
235521,7
235521,6
235521,5
235521,1
235521,4
235962,11
235962,8
235962,12
235739,6
235739,9
235739,2
235739,14
236197,7
236197,6
236197,12
236197,2
236197,14
236197,10
236197,4
235644,6
235644,9
235644,2
235644,14
236090,7
236090,6
236090,12
236090,2
236090,14
236090,10
236090,4
236365,7
236365,8
236365,12
236365,3
235662,6
235662,9
235662,2
235662,14
236282,7
236282,6
236282,12
236282,2
236282,14
236282,10
236282,4
235934,11
235934,8
235934,12
236488,7
236488,8
236488,12
236488,3
236038,11
236038,8
236038,12
235542,7
235542,6
235542,5
235542,1
235542,4
235986,11
235986,8
235986,12
236298,7
236298,8
236298,12
236298,3
235847,11
235847,8
235847,12
235630,6
235630,9
235630,2
235630,14
235899,11
235899,8
235899,12
235561,7
235561,6
235561,5
235561,1
235561,4
235727,6
235727,9
235727,2
235727,14
235577,7
235577,6
235577,5
235577,1
235577,4
235525,7
235525,6
235525,5
235525,1
235525,4
235967,11
235967,8
235967,12
236199,7
236199,6
236199,12
236199,2
236199,14
236199,10
236199,4
235854,11
235854,8
235854,12
235463,7
235463,6
235463,5
235463,1
235463,4
236320,7
236320,8
236320,12
236320,3
235651,6
235651,9
235651,2
235651,14
236098,7
236098,6
236098,12
236098,2
236098,14
236098,10
236098,4
236495,7
236495,8
236495,12
236495,3
236046,11
236046,8
236046,12
235703,6
235703,9
235703,2
235703,14
236029,11
236029,8
236029,12
235753,6
235753,9
235753,2
235753,14
219130,7
219130,6
219130,5
219130,1
219130,4
236289,7
236289,8
236289,12
236289,3
235840,11
235840,8
235840,12
235621,6
235621,9
235621,2
235621,14
236063,7
236063,6
236063,12
236063,2
236063,14
236063,10
236063,4
235448,7
235448,6
235448,5
235448,1
235448,4
235891,11
235891,8
235891,12
235770,6
235770,9
235770,2
235770,14
236224,7
236224,6
236224,12
236224,2
236224,14
236224,10
236224,4
235499,7
235499,6
235499,5
235499,1
235499,4
236391,7
236391,8
236391,12
236391,3
235943,11
235943,8
235943,12
235719,6
235719,9
235719,2
235719,14
236172,7
236172,6
236172,12
236172,2
236172,14
236172,10
236172,4
236461,7
236461,8
236461,12
236461,3
236011,11
236011,8
236011,12
236242,7
236242,6
236242,12
236242,2
236242,14
236242,10
236242,4
235735,6
235735,9
235735,2
235735,14
236191,7
236191,6
236191,12
236191,2
236191,14
236191,10
236191,4
235416,7
235416,6
235416,5
235416,1
235416,4
235860,11
235860,8
235860,12
235643,6
235643,9
235643,2
235643,14
235469,7
235469,6
235469,5
235469,1
235469,4
236361,7
236361,8
236361,12
236361,3
235912,11
235912,8
235912,12
235690,6
235690,9
235690,2
235690,14
236136,7
236136,6
236136,12
236136,2
236136,14
236136,10
236136,4
235437,7
235437,6
235437,5
235437,1
235437,4
236326,7
236326,8
236326,12
236326,3
235876,11
235876,8
235876,12
236104,7
236104,6
236104,12
236104,2
236104,14
236104,10
236104,4
236278,7
236278,6
236278,12
236278,2
236278,14
236278,10
236278,4
235487,7
235487,6
235487,5
235487,1
235487,4
235930,11
235930,8
235930,12
236157,7
236157,6
236157,12
236157,2
236157,14
236157,10
236157,4
236033,11
236033,8
236033,12
235980,11
235980,8
235980,12
235759,6
235759,9
235759,2
235759,14
236215,7
236215,6
236215,12
236215,2
236215,14
236215,10
236215,4
235454,7
235454,6
235454,5
235454,1
235454,4
235674,6
235674,9
235674,2
