id,pb,pb_location,bp_mob,bp_lvl,bp_location,type,slot,line,ql,itemid
1,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Artillery,Ocular,Active,170,219135
2,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Thigh,Active,170,235792
3,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Surviving,150,235825
4,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Working,160,235826
5,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Infantry,Feet,Active,170,235827
6,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Extermination,Ocular,Surviving,150,235842
7,"Adobe Suzerain","Scheol Upper",Eremites,125,"Highlands NW Incarnator N",Artillery,"Left Hand",Operative,110,235586
8,"Aesma Daeva","Inferno Frontier","Ithaki & Spetses",220,"Incarnator QL 255",Infantry,"Left Arm",Vital,260,235711
9,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Artillery,Feet,Excited,250,235612
10,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Ocular,Cognizant,270,236297
11,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Brain,Excited,250,236312
12,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Control,Brain,Cognizant,270,236313
13,Ahpta,"Inferno Frontier","Named Spinetooth: Atakirh & Salahpt",220,"Each side of the ramp to Razor's Lair",Support,Thigh,Excited,250,236250
14,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Artillery,"Left Arm",Awakened,180,235487
15,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Infantry,Ocular,Living,210,235625
16,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Awakened,180,236117
17,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Enduring,190,236118
18,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Right Arm",Living,210,236119
19,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,Chest,Awakened,180,236136
20,Alatyr,"Penumbra Forest","Stubby Stalker and Named",188,"SW Glacier Hill - SW Statue",Support,"Left Arm",Awakened,180,236157
21,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Artillery,"Right Hand",Vigorous,230,235559
22,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Enduring,190,235810
23,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Vigorous,230,235812
24,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Artillery,Brain,Growing,200,235417
25,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,"Left Hand",Growing,200,235811
26,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Infantry,Feet,Enduring,190,235828
27,Anya,"Penumbra Valley","Savvy Spinetooth Bosses: Maywakaham, Waqamawi",185,"SW from Spirit Palace - N from Ruins",Extermination,Ocular,Growing,200,235844
28,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,Ear,Vital,260,235438
29,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,"Right Hand",Effective,240,235560
30,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Artillery,"Left Hand",Effective,240,235592
31,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Effective,240,235964
32,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Excited,250,235965
33,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Waist,Vital,260,235966
34,Aray,"Penumbra Forest","Alonissos / Levkada",210,"West Brink / South from Icarnator",Extermination,Chest,Vital,260,235916
35,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Artillery,Waist,Vibrating,90,235516
36,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Right Arm",Residing,130,236342
37,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Operative,110,236357
38,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Running,140,236358
39,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,Chest,Surviving,150,236359
40,"Argil Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Right Arm",Breathing,100,236341
41,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Extermination,Feet,Operative,110,236048
42,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Support,"Right Arm",Breathing,100,236113
43,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Artillery,"Right Arm",Breathing,100,235450
44,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Infantry,Brain,Vibrating,90,235638
45,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Extermination,Feet,Vibrating,90,236047
46,"Ashmara Ravin","Scheol Upper","Arcorash and Named",125,"The Plundge",Support,Ocular,Breathing,100,236065
