# Version: 18.08.58.03
# Requires: 20230108112714_CreateItemDBs.shared
lowid,highid,lowql,highql,name,icon,froob_friendly,slot,flags,in_game
21601,21601,1,1,"Ammo: Flamethrower Ammunition",32168,1,0,-2143288317,1
21605,21605,1,1,"Ammo: Bullets",26690,1,0,-2143288319,1
21609,21609,1,1,"Ammo: Energy Weapon Ammo",26686,1,0,-2143288317,1
21613,21613,1,1,"Ammo: Shotgun Shells",33174,1,0,-2143288317,1
21793,21793,200,200,"Augmented Nano Armor Sleeves",13231,1,640,-1073741821,1
21797,21797,200,200,"Augmented Nano Armor Cloak",22968,1,8,-1073741821,1
21801,21801,200,200,"Augmented Nano Body Armor",13252,1,32,-1073741821,1
21805,21805,200,200,"Augmented Nano Armor Boots",13269,1,16384,-1073741821,1
21809,21809,200,200,"Augmented Nano Armor Gloves",13282,1,256,-1073741821,1
21813,21813,200,200,"Augmented Nano Armor Helmet",10839,1,4,-1073741821,1
21817,21817,200,200,"Augmented Nano Armor Pants",13299,1,2048,-1073741821,1
21917,21917,200,200,"High-Quality Cyber Armor Sleeves",13223,1,640,-1073741821,1
21921,21921,200,200,"Flawless Energized Armor Sleeves",13225,1,640,-1073741821,1
21929,21929,200,200,"Flawless Kevlar Armor Sleeves",13227,1,640,-1073741821,1
21937,21937,200,200,"Augmented Martial Artist Suit Sleeves",13229,1,640,-1073741821,1
21955,21955,200,200,"Assault-Issue Omni-Pol Armor Sleeves",13232,1,640,-1073741821,1
21959,21959,200,200,"Assault-Issue Omni-Pol Elite Armor Sleeves",21850,1,640,-1073741821,1
21963,21963,200,200,"Assault-Issue Omni-Pol Forest Armor Sleeves",13233,1,640,-1073741821,1
21967,21967,200,200,"Flawless Heated Plasteel Armor Sleeves",21976,1,640,-1073741821,1
21971,21971,200,200,"High-Quality Steel-Ribbed Armor Sleeves",13236,1,640,-1073741821,1
21975,21975,200,200,"Augmented Tech Armor Sleeves",13237,1,640,-1073741821,1
22004,22004,200,200,"Flawless Kevlar Vest",21858,1,32,-1073741821,1
22010,22010,200,200,"High-Quality Cyber Body Armor",22089,1,32,-1073741821,1
22014,22014,200,200,"High-Quality Cyber Female Body Armor",13245,1,32,-1073741821,1
22018,22018,200,200,"Flawless Energized Body Armor",13243,1,32,-1073741821,1
22026,22026,200,200,"Flawless Kevlar Body Armor",13249,1,32,-1073741821,1
22046,22046,200,200,"Augmented Martial Artist Suit Shirt",22094,1,32,-1073741821,1
22064,22064,200,200,"Assault-Issue Omni-Pol Body Armor",13253,1,32,-1073741821,1
22068,22068,200,200,"Assault-Issue Omni-Pol Elite Body Armor",19816,1,32,-1073741821,1
22072,22072,200,200,"Assault-Issue Omni-Pol Forest Body Armor",13254,1,32,-1073741821,1
22076,22076,200,200,"Flawless Heated Plasteel Body Armor",21977,1,32,-1073741821,1
22080,22080,200,200,"High-Quality Steel-Ribbed Body Armor",13257,1,32,-1073741821,1
22084,22084,200,200,"Augmented Tech Body Armor",13258,1,32,-1073741821,1
22088,22088,200,200,"Augmented Tech Female Body Armor",31555,1,32,-1073741821,1
22104,22104,200,200,"High-Quality Cyber Armor Boots",13262,1,16384,-1073741821,1
22108,22108,200,200,"Flawless Energized Armor Boots",13263,1,16384,-1073741821,1
22116,22116,200,200,"Flawless Kevlar Armor Boots",13265,1,16384,-1073741821,1
22124,22124,200,200,"Augmented Martial Artist Suit Boots",13267,1,16384,-1073741821,1
22142,22142,200,200,"Assault-Issue Omni-Pol Armor Boots",13270,1,16384,-1073741821,1
22146,22146,200,200,"Assault-Issue Omni-Pol Elite Armor Boots",21866,1,16384,-1073741821,1
22150,22150,200,200,"Assault-Issue Omni-Pol Forest Armor Boots",13271,1,16384,-1073741821,1
22154,22154,200,200,"Flawless Heated Plasteel Armor Boots",21978,1,16384,-1073741821,1
22158,22158,200,200,"High-Quality Steel-Ribbed Armor Boots",13274,1,16384,-1073741821,1
22162,22162,200,200,"Augmented Tech Armor Boots",13275,1,16384,-1073741821,1
22166,22166,200,200,"High-Quality Cyber Armor Gloves",13276,1,256,-1073741821,1
22170,22170,200,200,"Flawless Energized Armor Gloves",13277,1,256,-1073741821,1
22178,22178,200,200,"Flawless Kevlar Armor Gloves",13279,1,256,-1073741821,1
22196,22196,200,200,"Assault-Issue Omni-Pol Armor Gloves",13283,1,256,-1073741821,1
22200,22200,200,200,"Assault-Issue Omni-Pol Elite Armor Gloves",21872,1,256,-1073741821,1
22204,22204,200,200,"Assault-Issue Omni-Pol Forest Armor Gloves",13284,1,256,-1073741821,1
22208,22208,200,200,"Flawless Heated Plasteel Armor Gloves",21979,1,256,-1073741821,1
22212,22212,200,200,"High-Quality Steel-Ribbed Armor Gloves",13286,1,256,-1073741821,1
22216,22216,200,200,"Augmented Tech Armor Gloves",13287,1,256,-1073741821,1
22219,22219,200,200,"High-Quality Cyber Armor Helmet",22267,1,4,-1073741821,1
22223,22223,200,200,"Flawless Energized Armor Helmet",10834,1,4,-1073741821,1
22246,22246,200,200,"Assault-Issue Omni-Pol Armor Helmet",10840,1,4,-1073741821,1
22250,22250,200,200,"Assault-Issue Omni-Pol Elite Armor Helmet",22269,1,4,-1073741821,1
22254,22254,200,200,"Assault-Issue Omni-Pol Forest Armor Helmet",10841,1,4,-1073741821,1
22258,22258,200,200,"Flawless Heated Plasteel Armor Helmet",22270,1,4,-1073741821,1
22262,22262,200,200,"High-Quality Steel-Ribbed Armor Helmet",10843,1,4,-1073741821,1
22266,22266,200,200,"Augmented Tech Armor Helmet",10844,1,4,-1073741821,1
22289,22289,200,200,"High-Quality Cyber Armor Pants",13290,1,2048,-1073741821,1
22293,22293,200,200,"Flawless Energized Armor Pants",13292,1,2048,-1073741821,1
22301,22301,200,200,"Flawless Kevlar Armor Pants",13294,1,2048,-1073741821,1
22313,22313,200,200,"Augmented Martial Artist Suit Pants",13297,1,2048,-1073741821,1
22331,22331,200,200,"Assault-Issue Omni-Pol Armor Pants",13300,1,2048,-1073741821,1
22335,22335,200,200,"Assault-Issue Omni-Pol Elite Armor Pants",21879,1,2048,-1073741821,1
22339,22339,200,200,"Assault-Issue Omni-Pol Forest Armor Pants",13301,1,2048,-1073741821,1
22343,22343,200,200,"Flawless Heated Plasteel Armor Pants",21980,1,2048,-1073741821,1
22347,22347,200,200,"High-Quality Steel-Ribbed Armor Pants",13304,1,2048,-1073741821,1
22351,22351,200,200,"Augmented Tech Armor Pants",13305,1,2048,-1073741821,1
23143,23143,1,1,"Small Trunk",154186,1,0,1,1
23147,23147,1,1,"Cardboard Box",154191,1,0,1,1
23149,23149,1,1,"Light Plasteel Barrel",154194,1,0,1,1
23151,23151,1,1,"Worn Crate",154190,1,0,1,1
23153,23153,1,1,Bag,154189,1,0,1,1
23155,23155,1,1,"Old Barrel",154193,1,0,1,1
23157,23157,1,1,"Small Box",154188,1,0,1,1
23159,23159,1,1,"Large Metal Box",154187,1,0,1,1
23163,23163,1,1,Barrel,20412,1,0,536878113,1
23314,23316,1,200,"Simple First-Aid Kit",11708,1,0,-2143287293,1
23316,160276,200,399,"Simple First-Aid Kit",11708,1,0,4196355,1
25806,25806,1,1,"Excellent Plastic Muscles",12688,1,8192,-2147483133,1
25807,25807,200,200,"Superior Plastic Muscles",12688,1,8192,-2147483133,1
25812,25811,1,199,"Treatment Laboratory",37989,1,0,-2143288829,1
25811,160277,200,400,"HQ Health Laboratory",37990,1,0,-2143288829,1
25820,25821,1,199,"Basic Nano Recharger",37992,1,0,-2143288829,1
25821,160278,200,399,"Advanced Nano Recharger",37991,1,0,-2143288829,1
25822,25831,1,150,"Rubi-Ka Ruby",286941,1,0,-2147483133,1
25823,25823,150,150,"Dull Pearl of Silver by Omni-Med",286914,1,0,-2147483133,1
25824,25824,150,150,"Blue Pearl",286900,1,0,-2147483133,1
25825,25825,200,200,"Gold 2 Sphere Pearl by Peters & Tool",286927,1,0,-2147483133,1
25826,25826,250,250,"Shining 2 Sphere by Pearl, Peters & Tool",286950,1,0,-2147483133,1
25827,25827,250,250,"High Quality Silver Onyx",286931,1,0,-2147483133,1
25828,25828,1,1,"Spring Crystal",286958,1,40960,-2147483133,1
25829,25829,300,300,"Flawless Spring Crystal",286923,1,40960,-2147483133,1
25830,25830,1,1,"Blue Pearl by Conner",301030,1,0,-2147483133,1
25832,25832,1,1,"Silver Onyx",286951,1,0,-2147483133,1
25833,25833,400,400,"Soul Sphere by Divaad",286957,1,0,-2147483133,1
26015,26015,63,63,"Nano Crystal (Chemical Concoction)",12259,1,0,-2143288829,1
26017,26017,142,142,"Nano Crystal (Death's Gaze)",42449,1,0,-2143288829,1
26019,26019,172,172,"Nano Crystal (Hostile Hatchling)",300923,1,0,-2143288829,1
