# Version: 18.08.54.01
id,nano_id,disc_id,use_id,name,ncu,nanocost,school,strain,duration,attack,recharge,range,initskill,froob_friendly
25980,26017,146833,,"Death's Gaze",44,265,1,147,453,230,650,18,0,1
25984,26015,146832,,"Chemical Concoction",20,214,4,196,1440000,332,50,15,0,1
25988,26207,146839,,"Enhanced Senses",9,100,4,192,1440000,258,50,15,0,1
25989,26206,146853,,"Feline Grace",17,177,4,195,1440000,312,50,15,0,1
25994,26019,146718,,"Hostile Hatchling",53,1423,5,223,1440000,100,100,1,0,1
26107,26166,146734,,"Eagle Eye",48,402,4,191,1440000,100,100,30,0,1
26237,26245,146745,,"Free Movement",14,100,4,150,1440000,100,100,15,0,1
26310,0,0,,"Heat Miser",18,241,1,0,0,65,493,12,0,1
26336,26464,0,,"1H Blunt Weapon Expertise",4,40,4,16,180000,210,50,20,0,1
26337,26462,0,,"1H Blunt Weapon Incompetence",4,40,4,17,30000,230,90,20,0,1
26338,26463,0,,"1H Blunt Weapon Inexperience",2,25,4,17,30000,220,80,15,0,1
26339,26461,0,,"1H Blunt Weapon Proficiency",2,25,4,16,180000,200,50,15,0,1
26341,26468,0,,"Aggression Prod",1,14,4,0,0,200,600,12,0,1
26342,26469,0,,"Agility Boost",3,45,2,29,120000,220,60,12,0,1
26343,26470,0,,"Aimed Shot Expertise",4,40,4,18,180000,210,50,20,0,1
26344,26471,0,,"Ranged Special Attacks Incompetence",20,250,1,19,3000,250,100,15,0,1
26345,26472,0,,"Aimed Shot Inexperience",3,25,4,19,30000,230,80,15,0,1
26346,26473,0,,"Aimed Shot Proficiency",2,25,4,18,180000,200,50,15,0,1
26350,26585,0,,"Adrenaline Pump",4,40,2,149,120000,210,50,10,0,1
26351,26497,0,,"Bow Proficiency",2,25,4,37,180000,200,50,15,0,1
26352,26479,0,,"Assault Rifle Incompetence",4,40,4,28,30000,230,90,20,0,1
26353,26480,0,,"Assault Rifle Inexperience",2,25,4,28,30000,220,80,15,0,1
26354,26481,0,,"Assault Rifle Proficiency",2,25,4,27,180000,200,50,15,0,1
26355,26482,0,,"Augment Agility",2,25,2,29,120000,200,50,15,0,1
26356,26483,0,,"Augment Intelligence",2,25,2,30,120000,200,50,15,0,1
26357,26484,0,,"Augment Psychic",2,25,2,31,120000,200,50,15,0,1
26358,26485,0,,"Augment Sense",2,25,2,32,120000,200,50,15,0,1
