# Version: 18.08.54.00
item_id,attribute_id,amount
21793,93,62
21793,95,218
21793,92,250
21793,97,218
21793,91,250
21793,96,250
21793,90,218
21793,94,218
21797,93,156
21797,95,546
21797,92,625
21797,97,546
21797,91,625
21797,96,625
21797,90,546
21797,94,546
21801,93,250
21801,95,875
21801,92,1000
21801,97,875
21801,91,1000
21801,96,1000
21801,90,875
21801,94,875
21805,93,93
21805,95,328
21805,92,375
21805,97,328
21805,91,375
21805,96,375
21805,90,328
21805,94,328
21809,93,62
21809,95,218
21809,92,250
21809,97,218
21809,91,250
21809,96,250
21809,90,218
21809,94,218
21813,93,187
21813,95,656
21813,92,750
21813,97,656
21813,91,750
21813,96,750
21813,90,656
21813,94,656
21817,93,156
21817,95,546
21817,92,625
21817,97,546
21817,91,625
21817,96,625
21817,90,546
21817,94,546
21917,93,50
21917,95,156
21917,92,218
21917,97,156
21917,91,250
21917,96,50
21917,90,250
21917,94,50
21921,93,50
21921,95,50
21921,92,250
21921,97,50
21921,91,218
21921,96,50
21921,90,250
21921,94,218
21929,93,156
21929,95,156
21929,92,218
21929,97,50
21929,91,250
21929,96,156
21929,90,250
21929,94,50
21937,93,62
21937,95,250
21937,92,250
21937,97,250
21937,91,250
21937,96,62
21937,90,250
21937,94,62
21955,93,218
21955,95,62
21955,92,250
21955,97,62
21955,91,250
21955,96,187
21955,90,250
21955,94,218
21959,93,62
21959,95,218
21959,92,250
21959,97,218
21959,91,250
21959,96,218
21959,90,250
21959,94,218
21963,93,156
21963,95,50
21963,92,250
21963,97,50
21963,91,218
21963,96,50
21963,90,250
21963,94,156
21967,93,37
21967,95,37
21967,92,218
21967,97,218
21967,91,250
21967,96,37
21967,90,250
21967,94,37
21971,93,250
21971,95,50
21971,92,250
21971,97,50
21971,91,218
21971,96,218
21971,90,250
21971,94,50
21975,93,187
21975,95,62
21975,92,250
21975,97,156
21975,91,250
21975,96,62
21975,90,250
21975,94,218
22004,93,500
22004,95,500
22004,92,750
22004,97,175
22004,91,875
22004,96,500
22004,90,875
22004,94,175
22010,93,200
22010,95,625
22010,92,875
22010,97,625
22010,91,1000
22010,96,200
22010,90,1000
22010,94,200
22014,93,200
22014,95,625
22014,92,875
22014,97,625
22014,91,1000
22014,96,200
22014,90,1000
22014,94,200
22018,93,200
22018,95,200
22018,92,1000
22018,97,200
22018,91,875
22018,96,200
22018,90,1000
22018,94,875
22026,93,625
22026,95,625
22026,92,875
22026,97,200
22026,91,1000
22026,96,625
22026,90,1000
22026,94,200
22046,93,250
22046,95,1000
22046,92,1000
22046,97,1000
22046,91,1000
22046,96,250
22046,90,1000
22046,94,250
22064,93,875
22064,95,250
22064,92,1000
22064,97,250
22064,91,1000
22064,96,750
22064,90,1000
22064,94,875
22068,93,250
22068,95,875
22068,92,1000
22068,97,875
22068,91,1000
22068,96,875
22068,90,1000
22068,94,875
22072,93,625
22072,95,200
22072,92,1000
22072,97,200
22072,91,875
22072,96,200
22072,90,1000
22072,94,625
22076,93,150
22076,95,150
22076,92,875
22076,97,875
22076,91,1000
22076,96,150
22076,90,1000
22076,94,150
22080,93,1000
22080,95,200
22080,92,1000
22080,97,200
22080,91,875
22080,96,875
22080,90,1000
22080,94,200
22084,93,750
22084,95,250
22084,92,1000
22084,97,625
22084,91,1000
22084,96,250
22084,90,1000
22084,94,875
22088,93,750
22088,95,250
22088,92,1000
22088,97,625
22088,91,1000
22088,96,250
22088,90,1000
22088,94,875
22104,93,75
22104,95,234
22104,92,328
22104,97,234
22104,91,375
22104,96,75
22104,90,375
22104,94,75
22108,93,75
22108,95,75
22108,92,375
22108,97,75
22108,91,328
22108,96,75
22108,90,375
22108,94,328
22116,93,234
22116,95,234
22116,92,328
22116,97,75
22116,91,375
22116,96,234
22116,90,375
22116,94,75
22124,93,93
22124,95,375
22124,92,375
22124,97,375
22124,91,375
22124,96,93
22124,90,375
22124,94,93
22142,93,328
22142,95,93
22142,92,375
22142,97,93
22142,91,375
22142,96,281
22142,90,375
22142,94,328
22146,93,93
22146,95,328
22146,92,375
22146,97,328
22146,91,375
22146,96,328
22146,90,375
22146,94,328
22150,93,234
22150,95,75
22150,92,375
22150,97,75
22150,91,328
22150,96,75
22150,90,375
22150,94,234
22154,93,56
22154,95,56
22154,92,328
22154,97,328
22154,91,375
22154,96,56
22154,90,375
22154,94,56
22158,93,375
22158,95,75
22158,92,375
22158,97,75
22158,91,328
22158,96,328
22158,90,375
22158,94,75
22162,93,281
22162,95,93
22162,92,375
22162,97,234
22162,91,375
22162,96,93
22162,90,375
22162,94,328
22166,93,50
22166,95,156
22166,92,218
22166,97,156
22166,91,250
22166,96,50
22166,90,250
22166,94,50
22170,93,50
22170,95,50
22170,92,250
22170,97,50
22170,91,218
22170,96,50
22170,90,250
22170,94,218
22178,93,156
22178,95,156
22178,92,218
22178,97,50
22178,91,250
22178,96,156
22178,90,250
22178,94,50
22196,93,218
22196,95,62
22196,92,250
22196,97,62
22196,91,250
22196,96,187
22196,90,250
22196,94,218
22200,93,62
22200,95,218
22200,92,250
22200,97,218
22200,91,250
22200,96,218
22200,90,250
22200,94,218
22204,93,156
22204,95,50
22204,92,250
22204,97,50
22204,91,218
22204,96,50
22204,90,250
22204,94,156
22208,93,37
22208,95,37
22208,92,218
22208,97,218
22208,91,250
22208,96,37
22208,90,250
22208,94,37
22212,93,250
22212,95,50
22212,92,250
22212,97,50
22212,91,218
22212,96,218
22212,90,250
22212,94,50
22216,93,187
22216,95,62
22216,92,250
22216,97,156
22216,91,250
22216,96,62
22216,90,250
22216,94,218
22219,93,150
22219,95,468
22219,92,656
22219,97,468
22219,91,750
22219,96,150
22219,90,750
22219,94,150
22223,93,150
22223,95,150
22223,92,750
22223,97,150
22223,91,656
22223,96,150
22223,90,750
22223,94,656
22246,93,656
22246,95,187
22246,92,750
22246,97,187
22246,91,750
22246,96,562
22246,90,750
22246,94,656
22250,93,187
22250,95,656
22250,92,750
22250,97,656
22250,91,750
22250,96,656
22250,90,750
22250,94,656
22254,93,468
22254,95,150
22254,92,750
22254,97,150
22254,91,656
22254,96,150
22254,90,750
22254,94,468
22258,93,112
22258,95,112
22258,92,656
22258,97,656
22258,91,750
22258,96,112
22258,90,750
22258,94,112
22262,93,750
22262,95,150
22262,92,750
22262,97,150
22262,91,656
22262,96,656
22262,90,750
22262,94,150
22266,93,562
22266,95,187
22266,92,750
22266,97,468
22266,91,750
22266,96,187
22266,90,750
22266,94,656
22289,93,125
22289,95,390
22289,92,546
22289,97,390
22289,91,625
22289,96,125
22289,90,625
22289,94,125
22293,93,125
22293,95,125
22293,92,625
22293,97,125
22293,91,546
22293,96,125
22293,90,625
22293,94,546
22301,93,390
22301,95,390
22301,92,546
22301,97,125
22301,91,625
22301,96,390
22301,90,625
22301,94,125
22313,93,156
22313,95,625
22313,92,625
22313,97,625
22313,91,625
22313,96,156
22313,90,625
22313,94,156
22331,93,546
22331,95,156
22331,92,625
22331,97,156
22331,91,625
22331,96,468
22331,90,625
22331,94,546
22335,93,156
22335,95,546
22335,92,625
22335,97,546
22335,91,625
22335,96,546
22335,90,625
22335,94,546
22339,93,390
22339,95,125
22339,92,625
22339,97,125
22339,91,546
22339,96,125
22339,90,625
22339,94,390
22343,93,93
22343,95,93
22343,92,546
22343,97,546
22343,91,625
22343,96,93
22343,90,625
22343,94,93
22347,93,625
22347,95,125
22347,92,625
22347,97,125
22347,91,546
22347,96,546
22347,90,625
22347,94,125
22351,93,468
22351,95,156
22351,92,625
22351,97,390
22351,91,625
22351,96,156
22351,90,625
22351,94,546
25806,137,5
25806,156,3
25807,137,50
25807,156,100
27360,93,93
27360,95,93
27360,92,546
27360,97,93
27360,91,468
27360,96,93
27360,90,625
27360,94,390
27381,124,10
27381,123,10
27382,124,6
27382,123,6
27383,124,20
27383,123,20
27384,124,14
27384,123,14
27385,124,14
27385,123,14
27386,124,14
27386,123,14
27387,124,20
27387,123,20
27389,93,150
27389,95,150
27389,92,875
27389,97,150
27389,91,750
27389,96,150
27389,90,1000
27389,94,625
27391,93,37
27391,95,37
27391,92,218
27391,97,37
27391,91,187
27391,96,37
27391,90,250
27391,94,156
27392,93,234
27392,95,75
27392,92,375
27392,97,234
27392,91,328
27392,96,75
27392,90,375
27392,94,75
27394,93,390
27394,95,125
27394,92,625
27394,97,390
27394,91,546
27394,96,125
27394,90,625
27394,94,125
27396,93,156
27396,95,50
27396,92,250
27396,97,156
27396,91,218
27396,96,50
27396,90,250
27396,94,50
27398,93,625
27398,95,200
27398,92,1000
27398,97,625
27398,91,875
27398,96,200
27398,90,1000
27398,94,200
27400,93,156
27400,95,50
27400,92,250
27400,97,156
27400,91,218
27400,96,50
27400,90,250
27400,94,50
27402,93,468
27402,95,150
27402,92,750
27402,97,468
27402,91,656
27402,96,150
27402,90,750
27402,94,150
28734,93,250
28734,95,875
28734,154,-50
28734,153,-50
28734,92,1000
28734,155,-50
28734,97,250
28734,91,1000
28734,96,250
28734,90,1000
28734,94,750
28734,156,-50
28735,93,250
28735,95,750
28735,154,-50
28735,153,-50
28735,92,1000
28735,155,-50
28735,97,875
28735,91,1000
28735,96,250
28735,90,1000
28735,94,250
28735,156,-50
28736,93,750
28736,95,250
28736,154,-50
28736,153,-50
28736,92,1000
28736,155,-50
28736,97,250
28736,91,1000
28736,96,250
28736,90,1000
28736,94,875
28736,156,-50
28738,93,875
28738,95,250
28738,154,-50
28738,153,-50
28738,92,1000
28738,155,-50
28738,97,250
28738,91,1000
28738,96,750
28738,90,1000
28738,94,250
28738,156,-50
29426,91,10
31835,93,62
31835,95,218
31835,92,250
31835,97,218
31835,91,250
31835,96,250
31835,90,218
31835,94,218
36777,45,3
36778,181,4
36779,181,2
36780,181,16
36781,181,32
36782,45,2
36783,45,1
36784,45,5
36785,45,4
36786,181,8
36787,45,6
41390,93,750
41390,95,250
41390,154,-50
41390,153,-50
41390,92,1000
41390,155,-50
41390,97,250
41390,91,1000
41390,96,250
41390,90,1000
41390,94,875
41390,156,-50
41395,93,250
41395,95,875
41395,154,-50
41395,153,-50
41395,92,1000
41395,155,-50
41395,97,250
41395,91,1000
41395,96,250
41395,90,1000
41395,94,750
41395,156,-50
41398,93,875
41398,95,250
41398,154,-50
41398,153,-50
41398,92,1000
41398,155,-50
41398,97,250
41398,91,1000
41398,96,750
41398,90,1000
41398,94,250
41398,156,-50
41398,318,0
41402,93,250
41402,95,750
41402,154,-50
41402,153,-50
41402,92,1000
41402,155,-50
41402,97,875
41402,91,1000
41402,96,250
41402,90,1000
41402,94,250
41402,156,-50
70251,226,15
70251,227,15
70251,228,15
70251,229,15
70251,230,15
70251,231,15
70251,232,15
70251,233,15
70252,155,20
70253,155,1
70254,226,1
70254,227,1
70254,228,1
70254,229,1
70254,230,1
70254,231,1
70254,232,1
70254,233,1
70558,93,1
70558,95,1
70558,92,1
70558,97,1
70558,91,3
70558,96,1
70558,90,3
70558,94,1
70559,93,1
70559,95,1
70559,92,5
70559,97,1
70559,91,5
70559,96,1
70559,90,5
70559,94,1
70560,93,1
70560,95,1
70560,92,5
70560,97,1
70560,91,5
70560,96,1
70560,90,5
70560,94,1
70561,93,1
70561,95,1
70561,92,1
70561,97,1
70561,91,3
70561,96,1
70561,90,3
70561,94,1
70562,93,1
70562,95,1
70562,92,1
70562,97,1
70562,91,3
70562,96,1
70562,90,3
70562,94,1
70563,93,1
70563,95,1
70563,92,3
70563,97,1
70563,91,3
70563,96,1
70563,90,3
70563,94,1
70564,93,1
70564,95,1
70564,92,3
70564,97,1
70564,91,3
70564,96,1
70564,90,3
70564,94,1
70565,93,1
70565,95,1
70565,92,3
70565,97,1
70565,91,3
70565,96,1
70565,90,3
70565,94,1
84140,1,25
84140,221,25
84141,277,28
84142,277,1
84143,276,28
84144,276,1
84145,319,7
84146,319,1
84147,278,28
84148,278,1
84149,281,28
84149,282,28
84149,317,28
84150,281,1
84150,282,1
84150,317,1
84153,279,28
84154,279,1
84155,280,28
84156,280,1
84157,311,28
84157,316,28
84158,311,1
84158,316,1
84159,136,65
84159,164,65
84160,136,10
84160,164,10
84163,226,21
84164,226,1
84165,229,21
84165,230,21
84165,234,21
84166,229,1
84166,230,1
84166,234,1
84167,232,21
84168,232,1
84169,227,21
84170,227,1
84171,228,21
84172,228,1
84173,231,21
84173,233,21
84174,231,1
84174,233,1
84175,475,21
84175,205,7
84176,475,1
84176,205,1
84177,208,7
84177,216,7
84177,225,7
84177,478,21
84177,479,21
84177,483,21
84178,208,1
84178,216,1
84178,225,1
84178,478,1
84178,479,1
84178,483,1
84179,481,21
84179,218,7
84180,481,1
84180,218,1
84181,476,21
84181,206,7
84182,476,1
84182,206,1
84183,477,21
84183,207,7
84184,477,1
84184,207,1
84185,482,21
84185,480,21
84185,219,7
84185,217,7
84186,482,1
84186,480,1
84186,219,1
84186,217,1
84188,1,100
84188,221,100
85477,93,1
85477,95,1
85477,92,1
85477,97,1
85477,91,1
85477,96,1
85477,90,1
85477,94,1
85478,93,1
85478,95,5
85478,154,-1
85478,153,-1
85478,92,5
85478,155,-1
85478,97,1
85478,91,5
85478,96,1
85478,90,5
85478,94,5
85478,156,-1
85479,93,5
85479,95,1
85479,154,-1
85479,153,-1
85479,92,5
85479,155,-1
85479,97,1
85479,91,5
85479,96,5
85479,90,5
85479,94,1
85479,156,-1
85479,318,8
85480,93,5
85480,95,1
85480,154,-1
85480,153,-1
85480,92,5
85480,155,-1
85480,97,1
85480,91,5
85480,96,5
85480,90,5
85480,94,1
85480,156,-1
85481,93,1
85481,95,5
85481,92,1
85481,97,5
85481,91,5
85481,96,1
85481,90,5
85481,94,5
85482,93,1
85482,95,5
85482,154,-1
85482,153,-1
85482,92,5
85482,155,-1
85482,97,1
85482,91,5
85482,96,1
85482,90,5
85482,94,5
85482,156,-1
85483,93,5
85483,95,1
85483,154,-1
85483,153,-1
85483,92,5
85483,155,-1
85483,97,1
85483,91,5
85483,96,1
85483,90,5
85483,94,5
85483,156,-1
85484,93,5
85484,95,1
85484,154,-1
85484,153,-1
85484,92,5
85484,155,-1
85484,97,1
85484,91,5
85484,96,1
85484,90,5
85484,94,5
85484,156,-1
85485,93,1
85485,95,5
85485,154,-1
85485,153,-1
85485,92,5
85485,155,-1
85485,97,5
85485,91,5
85485,96,1
85485,90,5
85485,94,1
85485,156,-1
85486,93,1
85486,95,5
85486,154,-1
85486,153,-1
85486,92,5
85486,155,-1
85486,97,5
85486,91,5
85486,96,1
85486,90,5
85486,94,1
85486,156,-1
85487,93,546
85487,95,468
85487,92,625
85487,97,262
85487,91,625
85487,96,156
85487,90,625
85487,94,625
85488,93,3
85488,95,3
85488,92,3
85488,97,3
85488,91,3
85488,96,1
85488,90,3
85488,94,3
85489,93,3
85489,95,1
85489,92,3
85489,97,3
85489,91,3
85489,96,1
85489,90,3
85489,94,3
85490,96,546
85490,94,156
85490,95,546
85490,97,546
85490,91,546
85490,93,625
85490,90,625
85490,92,625
85491,96,3
85491,94,1
85491,95,3
85491,97,3
85491,91,3
85491,93,3
85491,90,3
85491,92,3
85492,97,546
85492,91,546
85492,93,625
85492,90,625
85492,92,625
85492,96,546
85492,94,156
85492,95,156
85493,97,3
85493,91,3
85493,93,3
85493,90,3
85493,92,3
85493,96,3
85493,94,1
85493,95,1
85494,93,3
85494,95,1
85494,92,3
85494,97,1
85494,91,3
85494,96,3
85494,90,3
85494,94,1
85495,93,125
85495,95,625
85495,92,546
85495,97,125
85495,91,625
85495,96,125
85495,90,625
85495,94,546
85496,93,1
85496,95,3
85496,92,3
85496,97,1
85496,91,3
85496,96,1
85496,90,3
85496,94,3
85497,93,546
85497,95,125
85497,92,546
85497,97,625
85497,91,625
85497,96,125
85497,90,625
85497,94,125
85498,93,3
85498,95,1
85498,92,3
85498,97,3
85498,91,3
85498,96,1
85498,90,3
85498,94,1
85499,93,93
85499,95,546
85499,92,546
85499,97,93
85499,91,625
85499,96,93
85499,90,625
85499,94,93
85500,93,1
85500,95,3
85500,92,3
85500,97,1
85500,91,3
85500,96,1
85500,90,3
85500,94,1
85501,93,1
85501,95,1
85501,92,3
85501,97,3
85501,91,3
85501,96,1
85501,90,3
85501,94,1
85502,93,3
85502,95,1
85502,92,3
85502,97,1
85502,91,3
85502,96,1
85502,90,3
85502,94,3
85503,93,1
85503,95,3
85503,92,3
85503,97,3
85503,91,3
85503,96,3
85503,90,3
85503,94,3
85504,93,3
85504,95,1
85504,92,3
85504,97,3
85504,91,3
85504,96,1
85504,90,3
85504,94,1
85505,93,3
85505,95,1
85505,92,3
85505,97,1
85505,91,3
85505,96,3
85505,90,3
85505,94,3
85506,92,546
85506,91,625
85506,97,546
85506,95,546
85506,90,625
85506,96,156
85506,94,156
85506,93,156
85507,92,3
85507,91,3
85507,97,3
85507,95,3
85507,90,3
85507,96,1
85507,94,1
85507,93,1
85508,93,1
85508,95,3
85508,92,3
85508,97,3
85508,91,3
85508,96,3
85508,90,3
85508,94,3
85509,96,93
85509,94,93
85509,93,93
85509,97,93
85509,95,93
85509,90,546
85509,92,468
85509,91,546
85510,96,1
85510,94,1
85510,93,1
85510,97,1
85510,95,1
85510,90,3
85510,92,3
85510,91,3
85511,93,468
85511,95,93
85511,92,625
85511,97,93
85511,91,546
85511,96,93
85511,90,625
85511,94,93
85512,93,3
85512,95,1
85512,92,3
85512,97,1
85512,91,3
85512,96,1
85512,90,3
85512,94,1
85513,93,1
85513,95,3
85513,92,3
85513,97,3
85513,91,3
85513,96,1
85513,90,3
85513,94,1
85514,93,93
85514,95,93
85514,92,468
85514,97,93
85514,91,546
85514,96,93
85514,90,546
85514,94,93
85515,93,93
85515,95,93
85515,92,468
85515,97,93
85515,91,546
85515,96,93
85515,90,546
85515,94,93
85516,93,3
85516,95,3
85516,92,3
85516,97,1
85516,91,3
85516,96,3
85516,90,3
85516,94,1
85517,93,1
85517,95,1
85517,92,3
85517,97,1
85517,91,3
85517,96,1
85517,90,3
85517,94,3
85518,93,93
85518,95,546
85518,92,93
85518,97,546
85518,91,625
85518,96,93
85518,90,546
85518,94,546
85519,93,1
85519,95,3
85519,92,1
85519,97,3
85519,91,3
85519,96,1
85519,90,3
85519,94,3
85520,90,546
85520,91,625
85520,95,546
85520,92,93
85520,97,93
85520,93,93
85520,94,546
85520,96,93
85521,90,3
85521,91,3
85521,95,3
85521,92,1
85521,97,1
85521,93,1
85521,94,3
85521,96,1
85522,93,156
85522,95,546
85522,92,625
85522,97,546
85522,91,546
85522,96,156
85522,90,625
85522,94,625
85523,93,1
85523,95,3
85523,92,3
85523,97,3
85523,91,3
85523,96,1
85523,90,3
85523,94,3
85524,93,125
85524,95,546
85524,92,625
85524,97,125
85524,91,546
85524,96,125
85524,90,625
85524,94,546
85525,93,1
85525,95,3
85525,92,3
85525,97,1
85525,91,3
85525,96,1
85525,90,3
85525,94,3
85526,93,1
85526,95,1
85526,92,3
85526,97,1
85526,91,3
85526,96,1
85526,90,3
85526,94,3
85527,93,390
85527,95,546
85527,92,546
85527,97,546
85527,91,625
85527,96,156
85527,90,625
85527,94,468
85528,93,3
85528,95,3
85528,92,3
85528,97,3
85528,91,3
85528,96,1
85528,90,3
85528,94,3
85529,93,125
85529,95,468
85529,92,546
85529,97,468
85529,91,625
85529,96,125
85529,90,625
85529,94,390
85530,93,1
85530,95,3
85530,92,3
85530,97,3
85530,91,3
85530,96,1
85530,90,3
85530,94,3
85531,93,1
85531,95,3
85531,92,3
85531,97,3
85531,91,3
85531,96,1
85531,90,3
85531,94,1
85532,96,390
85532,94,156
85532,97,156
85532,95,156
85532,92,156
85532,93,468
85532,91,625
85532,90,546
85533,96,3
85533,94,1
85533,97,1
