id,raid,category,ql,name,comment,multiloot,aoid
1,Vortexx,General,300,"Base NCU - Type 00 (0/6)","",1,
2,Vortexx,General,300,"Nanodeck Activation Device","",1,
3,Vortexx,General,1,"Multi Colored Xan Belt Tuning Device","For TNH belts",1,
4,Vortexx,General,1,"Green Xan Belt Tuning Device","For S28 belt",1,
5,Vortexx,General,300,"Xan Weapon Upgrade Device","",1,
6,Vortexx,General,1,"Xan Defense Merit Board Base","",1,
7,Vortexx,General,1,"Xan Combat Merit Board Base","",1,
8,Vortexx,Symbiants,300,"Xan Waist Symbiant, Artillery Unit Beta","",1,
9,Vortexx,Symbiants,300,"Xan Waist Symbiant, Control Unit Beta","",1,
10,Vortexx,Symbiants,300,"Xan Waist Symbiant, Extermination Unit Beta","",1,
11,Vortexx,Symbiants,300,"Xan Waist Symbiant, Infantry Unit Beta","",1,
12,Vortexx,Symbiants,300,"Xan Waist Symbiant, Support Unit Beta","",1,
13,Vortexx,Symbiants,300,"Xan Left Arm Symbiant, Artillery Unit Beta","",1,
14,Vortexx,Symbiants,300,"Xan Left Arm Symbiant, Control Unit Beta","",1,
15,Vortexx,Symbiants,300,"Xan Left Arm Symbiant, Extermination Unit Beta","",1,
16,Vortexx,Symbiants,300,"Xan Left Arm Symbiant, Infantry Unit Beta","",1,
17,Vortexx,Symbiants,300,"Xan Left Arm Symbiant, Support Unit Beta","",1,
18,Vortexx,Symbiants,300,"Xan Right Wrist Symbiant, Artillery Unit Beta","",1,
19,Vortexx,Symbiants,300,"Xan Right Wrist Symbiant, Control Unit Beta","",1,
20,Vortexx,Symbiants,300,"Xan Right Wrist Symbiant, Extermination Unit Beta","",1,
21,Vortexx,Symbiants,300,"Xan Right Wrist Symbiant, Infantry Unit Beta","",1,
22,Vortexx,Symbiants,300,"Xan Right Wrist Symbiant, Support Unit Beta","",1,
23,Vortexx,Symbiants,300,"Xan Ocular Symbiant, Artillery Unit Beta","",1,
24,Vortexx,Symbiants,300,"Xan Ocular Symbiant, Control Unit Beta","",1,
25,Vortexx,Symbiants,300,"Xan Ocular Symbiant, Extermination Unit Beta","",1,
26,Vortexx,Symbiants,300,"Xan Ocular Symbiant, Infantry Unit Beta","",1,
27,Vortexx,Symbiants,300,"Xan Ocular Symbiant, Support Unit Beta","",1,
28,Vortexx,Spirits,250,"Xan Spirit of Right Wrist Offence - Beta","",1,
29,Vortexx,Spirits,250,"Xan Spirit of Right Wrist Weakness - Beta","",1,
30,Vortexx,Spirits,250,"Xan Left Limb Spirit of Essence - Beta","",1,
31,Vortexx,Spirits,250,"Xan Left Limb Spirit of Strength - Beta","",1,
32,Vortexx,Spirits,250,"Xan Left Limb Spirit of Understanding - Beta","",1,
33,Vortexx,Spirits,250,"Xan Left Limb Spirit of Weakness - Beta","",1,
34,Vortexx,Spirits,250,"Xan Midriff Spirit of Essence - Beta","",1,
35,Vortexx,Spirits,250,"Xan Midriff Spirit of Knowledge - Beta","",1,
36,Vortexx,Spirits,250,"Xan Midriff Spirit of Strength - Beta","",1,
37,Vortexx,Spirits,250,"Xan Midriff Spirit of Weakness - Beta","",1,
38,Vortexx,Spirits,250,"Xan Spirit of Essence - Beta","",1,
39,Vortexx,Spirits,250,"Xan Spirit of Discerning Weakness - Beta","",1,
40,Mitaar,General,300,"Base NCU - Type 00 (0/6)","",1,
41,Mitaar,General,300,"Nanodeck Activation Device","",1,
42,Mitaar,General,1,"Multi Colored Xan Belt Tuning Device","For TNH belts",1,
43,Mitaar,General,1,"Green Xan Belt Tuning Device","For S28 belt",1,
44,Mitaar,General,300,"Xan Weapon Upgrade Device","",1,
45,Mitaar,General,1,"Xan Defense Merit Board Base","",1,
46,Mitaar,General,1,"Xan Combat Merit Board Base","",1,
47,Mitaar,Symbiants,300,"Xan Brain Symbiant, Artillery Unit Beta","",1,
48,Mitaar,Symbiants,300,"Xan Brain Symbiant, Control Unit Beta","",1,
49,Mitaar,Symbiants,300,"Xan Brain Symbiant, Extermination Unit Beta","",1,
50,Mitaar,Symbiants,300,"Xan Brain Symbiant, Infantry Unit Beta","",1,
51,Mitaar,Symbiants,300,"Xan Brain Symbiant, Support Unit Beta","",1,
52,Mitaar,Symbiants,300,"Xan Chest Symbiant, Artillery Unit Beta","",1,
53,Mitaar,Symbiants,300,"Xan Chest Symbiant, Control Unit Beta","",1,
54,Mitaar,Symbiants,300,"Xan Chest Symbiant, Extermination Unit Beta","",1,
55,Mitaar,Symbiants,300,"Xan Chest Symbiant, Infantry Unit Beta","",1,
56,Mitaar,Symbiants,300,"Xan Chest Symbiant, Support Unit Beta","",1,
57,Mitaar,Symbiants,300,"Xan Left Hand Symbiant, Artillery Unit Beta","",1,
58,Mitaar,Symbiants,300,"Xan Left Hand Symbiant, Control Unit Beta","",1,
