strain_id,name
1,"Damage Shields"
2,"Reflect Shield"
3,"Armor Buff"
4,"Damage Buffs - Line A"
5,Challenger
6,"DOT - Line A"
7,"DOT - Line B"
8,"DOT Nanotechnician Strain A"
9,"DOT Agent Strain A"
10,"DOT Nanotechnician Strain B"
11,"Halo Nano Debuff"
12,"Heal Over Time"
13,"AAO Debuffs"
14,"Nano Over Time - Line A"
15,"XP Bonus"
16,"General 1Hand Blunt Buff"
17,"General 1Hand Blunt Debuff"
18,"General Aimed Shot Buff"
19,"General Aimed Shot Debuff"
20,"General Air Transport Buff"
21,"General 1H Edged Buff"
22,"General 1H Edged Debuff"
23,"General 2H Blunt Buff"
24,"General 2H Blunt Debuff"
25,"General 2H Edged Buff"
26,"General 2H Edged Debuff"
27,"General Assault Rifle Buff"
28,"General Assault Rifle Debuff"
29,"General Agility Buff"
30,"General Intelligence Buff"
31,"General Psychic Buff"
32,"General Sense Buff"
33,"General Stamina Buff"
34,"General Strength Buff"
35,"General BioMet Buff"
36,"General BioMet Debuff"
37,"General Bow Buff"
38,"General Bow Debuff"
39,"General Bow Special Buff"
40,"General Bow Special Debuff"
41,"General Brawl Buff"
42,"General Brawl Debuff"
43,"General Break Entry Buff"
44,"General Burst Buff"
45,"General Burst Debuff"
46,"General Chemical AC Buff"
47,"General Chemistry Buff"
48,"General Climb Buff"
49,"General Cold AC Buff"
50,"General Computer Literacy Buff"
51,"General Concealment Buff"
52,"General Dimach Debuff"
53,"General Agility Debuff"
54,"General Intelligence Debuff"
55,"General Psychic Debuff"
56,"General Sense Debuff"
57,"General Stamina Debuff"
58,"General Strength Debuff"
59,"General Disarm Traps Buff"
60,"General Electrical Engineering Buff"
61,"General Energy Melee Buff"
62,"General Energy Melee Debuff"
63,"General Energy AC Buff"
64,"General LR Energy Weapon Buff"
65,"General LR Energy Weapon Debuff"
66,"General Fast Attack Buff"
67,"General Fast Attack Debuff"
68,"General Field Quantum Physics Buff"
69,"General Fire AC Buff"
70,"General First Aid Buff"
71,"General Fling Shot Buff"
72,"General Fling Shot Debuff"
