crystal_id,nano_id,ql,crystal_name,nano_name,school,strain,strain_id,sub_strain,professions,location,nano_cost,froob_friendly,sort_order,nano_deck,spec,min_level,mm,bm,pm,si,ts,mc
26464,26336,10,"Nano Crystal (1H Blunt Weapon Expertise)","1H Blunt Weapon Expertise","Buffs - Melee","1H Blunt Buffs",16,"",General,"No longer drops",40,1,1,0,,,,,61,61,,
26461,26339,4,"Nano Crystal (1H Blunt Weapon Proficiency)","1H Blunt Weapon Proficiency","Buffs - Melee","1H Blunt Buffs",16,"",General,"No longer drops",25,1,2,0,,,,,31,31,,
43379,43371,1,"Enforcer: Startup Crystal - Thug's Delight","Thug's Delight",Buffs,"1H Blunt Buffs",179,"",Enforcer,"Arete Nano Container",19,1,3,0,,,,,5,5,,
275706,275849,215,"Alien Matrix Alpha Box (Creation: Asp of Titaniush)","Creation: Asp of Titaniush",Creation,"1H Blunt Weapons",0,"",Meta-Physicist,"APF Tradeskill",2112,0,1,1,,215,,2109,,,2209,2209
154996,154977,190,"Nano Crystal (Creation: Gold Acantophis)","Creation: Gold Acantophis",Creation,"1H Blunt Weapons",0,"",Meta-Physicist,"RK Mob",1632,1,2,0,,,,972,,,972,972
154998,154978,136,"Nano Crystal (Creation: Bitis Striker)","Creation: Bitis Striker",Creation,"1H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",1314,1,3,0,,,,692,,,692,692
154995,154979,90,"Nano Crystal (Creation: Coplan's Hand Taipan)","Creation: Coplan's Hand Taipan",Creation,"1H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",858,1,4,0,,,,458,,,458,458
154989,154980,48,"Nano Crystal (Creation: The Crotalus)","Creation: The Crotalus",Creation,"1H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",431,1,5,0,,,,236,,,236,236
161152,161151,169,"NanoCrystal (Division of the Winds)","Division of the Winds",Buffs,"1H Edged Buffs",244,"",Adventurer,"RK Dyna",816,1,1,0,,195,,,787,787,,
161150,161149,142,"NanoCrystal (Stormedge)",Stormedge,Buffs,"1H Edged Buffs",244,"",Adventurer,"RK Dyna",619,1,2,0,,145,,,662,662,,
161148,161147,103,"NanoCrystal (Bite of the Wind)","Bite of the Wind",Buffs,"1H Edged Buffs",244,"",Adventurer,"RK Dyna",414,1,3,0,,100,,,483,483,,
161146,161145,47,"NanoCrystal (Wind Slicer)","Wind Slicer",Buffs,"1H Edged Buffs",244,"",Adventurer,"RK Store",195,1,4,0,,50,,,236,236,,
27198,27068,10,"Nano Crystal (1H Edged Weapon Expertise)","1H Edged Weapon Expertise","Buffs - Melee","1H Edged Buffs",21,"",General,"No longer drops",40,1,5,0,,,,,61,61,,
27201,27071,4,"Nano Crystal (1H Edged Weapon Proficiency)","1H Edged Weapon Proficiency","Buffs - Melee","1H Edged Buffs",21,"",General,"No longer drops",25,1,6,0,,,,,31,31,,
27199,27069,10,"Nano Crystal (Melee Weapons Incompetence)","Melee Weapons Incompetence","Debuffs - Melee","1H Edged Debuffs",22,"",General,"RK Store",250,1,1,0,,,,,66,66,,
27200,27070,4,"Nano Crystal (1H Edged Weapon Inexperience)","1H Edged Weapon Inexperience","Debuffs - Melee","1H Edged Debuffs",22,"",General,"No longer drops",25,1,2,0,,,,,35,35,,
26462,26337,10,"Nano Crystal (1H Blunt Weapon Incompetence)","1H Blunt Weapon Incompetence","Debuffs - Melee","1Hand Blunt Debuffs",17,"",General,"No longer drops",40,1,1,0,,,,,66,66,,
26463,26338,4,"Nano Crystal (1H Blunt Weapon Inexperience)","1H Blunt Weapon Inexperience","Debuffs - Melee","1Hand Blunt Debuffs",17,"",General,"No longer drops",25,1,2,0,,,,,35,35,,
27202,27072,10,"Nano Crystal (2H Blunt Weapon Expertise)","2H Blunt Weapon Expertise","Buffs - Melee","2H Blunt Buffs",23,"",General,"No longer drops",40,1,1,0,,,,,61,61,,
27205,27075,4,"Nano Crystal (2H Blunt Weapon Proficiency)","2H Blunt Weapon Proficiency","Buffs - Melee","2H Blunt Buffs",23,"",General,"No longer drops",25,1,2,0,,,,,31,31,,
27203,27073,10,"Nano Crystal (2H Blunt Weapon Incompetence)","2H Blunt Weapon Incompetence","Debuffs - Melee","2H Blunt Debuffs",24,"",General,"No longer drops",40,1,1,0,,,,,66,66,,
27204,27074,4,"Nano Crystal (2H Blunt Weapon Inexperience)","2H Blunt Weapon Inexperience","Debuffs - Melee","2H Blunt Debuffs",24,"",General,"No longer drops",25,1,2,0,,,,,35,35,,
155000,154981,215,"Nano Crystal (Creation: Azure Cobra of Orma)","Creation: Azure Cobra of Orma",Creation,"2H Blunt Weapons",0,"",Meta-Physicist,"RK Mob",1702,1,1,0,,,,1030,,,1030,1030
154991,154982,160,"Nano Crystal (Creation: Wixel's Notum Python)","Creation: Wixel's Notum Python",Creation,"2H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",1435,1,2,0,,,,816,,,816,816
155001,154983,116,"Nano Crystal (Creation: Asp of Semol)","Creation: Asp of Semol",Creation,"2H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",1167,1,3,0,,,,604,,,604,604
154988,154984,66,"Nano Crystal (Creation: Viper Staff)","Creation: Viper Staff",Creation,"2H Blunt Weapons",0,"",Meta-Physicist,"Mission Reward",625,1,4,0,,,,328,,,328,328
275854,275838,215,"Alien Matrix Beta Box (Giant of Swords)","Giant of Swords",Buffs,"2H Edged Buffs",153,"",Keeper,"APF Tradeskill",799,0,1,1,,215,,,1244,1244,,
210310,210309,200,"Nano Crystal (Colossus of Swords)","Colossus of Swords",Buffs,"2H Edged Buffs",153,"",Keeper,"Mission Reward",688,0,2,0,,195,,,960,960,,
210308,210307,164,"Nano Crystal (Finality's Edge)","Finality's Edge",Buffs,"2H Edged Buffs",153,"",Keeper,"Mission Reward",546,0,3,0,,155,,,851,851,,
210306,210305,119,"Nano Crystal (The Adjudicator's Blade)","The Adjudicator's Blade",Buffs,"2H Edged Buffs",153,"",Keeper,"RK Store",428,0,4,0,,100,,,692,692,,
210304,210303,83,"Nano Crystal (Judgement Bringer)","Judgement Bringer",Buffs,"2H Edged Buffs",153,"",Keeper,"RK Store",279,0,5,0,,75,,,468,468,,
210302,210301,48,"Nano Crystal (Decision Maker)","Decision Maker",Buffs,"2H Edged Buffs",153,"",Keeper,"RK Store",150,0,6,0,,25,,,255,255,,
210300,210299,20,"Nano Crystal (Impartiality of the Blade)","Impartiality of the Blade",Buffs,"2H Edged Buffs",153,"",Keeper,"RK Store",71,0,7,0,,,,,114,114,,
27206,27076,10,"Nano Crystal (2H Edged Weapon Expertise)","2H Edged Weapon Expertise","Buffs - Melee","2H Edged Buffs",25,"",General,"No longer drops",40,1,8,0,,,,,61,61,,
27209,27079,4,"Nano Crystal (2H Edged Weapon Proficiency)","2H Edged Weapon Proficiency","Buffs - Melee","2H Edged Buffs",25,"",General,"No longer drops",25,1,9,0,,,,,31,31,,
210298,210297,1,"Nano Crystal (Keeper's Edge)","Keeper's Edge",Buffs,"2H Edged Buffs",153,"",Keeper,"Arete Nano Container",8,0,10,0,,,,,5,5,,
27207,27077,10,"Nano Crystal (2H Edged Weapon Incompetence)","2H Edged Weapon Incompetence","Debuffs - Melee","2H Edged Debuffs",26,"",General,"No longer drops",40,1,1,0,,,,,66,66,,
27208,27078,4,"Nano Crystal (2H Edged Weapon Inexperience)","2H Edged Weapon Inexperience","Debuffs - Melee","2H Edged Debuffs",26,"",General,"No longer drops",25,1,2,0,,,,,35,35,,
301594,301593,50,"Nano Crystal (Shad: Winding Serpent)","Winding Serpent",Orphans,"AAD Buffs",1002,"",Shade,"OFAB Store",40,0,1,0,,,,,338,338,,
