# Version: 18.08.58.00
id,attack_time,recharge_time,full_auto,burst,fling_shot,fast_attack,aimed_shot,brawl,sneak_attack,multi_m,multi_r
42033,1,180000,,,0,0,0,0,0,,
42034,1,180000,,,0,0,0,0,0,,
43712,125,125,,,0,0,0,1,0,,
70292,10,1500,,,0,0,0,0,0,,
96094,1000,1500,,,0,0,0,0,0,,
96095,1000,1500,,,0,0,0,0,0,,
121564,150,150,,,0,0,0,1,0,6,
121565,150,150,,,0,0,0,1,0,,
121566,150,100,,,0,0,0,1,0,87,
121567,100,100,,,1,0,0,0,0,,6
121568,100,150,,,0,0,1,0,0,,
121569,100,150,,0,0,0,0,0,0,,
121570,150,150,,,1,0,0,0,0,,
121571,100,100,,0,0,0,0,0,0,,
121572,151,129,,,0,1,0,1,1,47,
121573,153,142,,,0,1,0,1,1,68,
121574,153,143,,,0,1,0,1,1,69,
121575,154,156,,,0,1,0,1,1,89,
121576,154,157,,,0,1,0,1,1,90,
121577,156,170,,,0,1,0,1,1,111,
121578,156,171,,,0,1,0,1,1,112,
121579,158,184,,,0,1,0,1,1,229,
121580,158,185,,,0,1,0,1,1,234,
121581,160,198,,,0,1,0,1,1,352,
121582,160,199,,,0,1,0,1,1,357,
121583,161,212,,,0,1,0,1,1,474,
121584,161,213,,,0,1,0,1,1,479,
121585,163,226,,,0,1,0,1,1,597,
121586,163,227,,,0,1,0,1,1,603,
121587,165,240,,,0,1,0,1,1,719,
121588,165,241,,,0,1,0,1,1,725,
121589,166,249,,,0,1,0,1,1,800,
121590,166,250,,,0,1,0,1,1,805,
121591,102,102,,,0,1,0,1,1,56,
121592,96,92,,,0,1,0,1,1,83,
121593,96,91,,,0,1,0,1,1,84,
121594,90,81,,,0,1,0,1,1,111,
121595,90,81,,,0,1,0,1,1,112,
121596,84,71,,,0,1,0,1,1,139,
121597,84,70,,,0,1,0,1,1,140,
121598,78,60,,,0,1,0,1,1,263,
121599,78,59,,,0,1,0,1,1,268,
121600,72,49,,,0,1,0,1,1,392,
121601,72,49,,,0,1,0,1,1,398,
121602,66,39,,,0,1,0,1,1,521,
121603,66,38,,,0,1,0,1,1,527,
121604,60,28,,,0,1,0,1,1,650,
121605,60,28,,,0,1,0,1,1,656,
121606,54,17,,,0,1,0,1,1,779,
121607,54,17,,,0,1,0,1,1,784,
121608,50,10,,,0,1,0,1,1,864,
121609,50,10,,,0,1,0,1,1,869,
121610,103,161,,,0,0,0,1,0,,
121611,103,160,,,0,0,0,1,0,,
121612,103,160,,,0,0,0,1,0,,
121613,103,159,,,0,0,0,1,0,,
121614,103,159,,,0,0,0,1,0,,
121615,103,158,,,0,0,0,1,0,,
121616,103,158,,,0,0,0,1,0,,
121617,103,157,,,0,0,0,1,0,,
121618,103,157,,,0,0,0,1,0,,
121619,102,156,,,0,0,0,1,0,,
121620,102,156,,,0,0,0,1,0,,
121621,102,155,,,0,0,0,1,0,,
121622,102,155,,,0,0,0,1,0,,
121623,102,154,,,0,0,0,1,0,,
121624,102,154,,,0,0,0,1,0,,
121625,102,153,,,0,0,0,1,0,,
121626,102,153,,,0,0,0,1,0,,
121627,102,152,,,0,0,0,1,0,,
121628,102,152,,,0,0,0,1,0,,
121629,150,152,,,0,0,0,1,0,,
121630,150,152,,,0,0,0,1,0,,
121631,150,152,,,0,0,0,1,0,,
121632,150,152,,,0,0,0,1,0,,
121633,150,152,,,0,0,0,1,0,,
121634,150,152,,,0,0,0,1,0,,
121635,150,152,,,0,0,0,1,0,,
121636,150,152,,,0,0,0,1,0,,
