playfield_id,site_number,min_ql,max_ql,x_coord,y_coord,site_name,timing
505,1,60,90,2740,4260,"Griffon Frontier",1
505,2,80,110,540,4180,Draught,1
505,3,70,95,1740,3460,"Dreadfire Volcano",1
505,4,80,120,2780,3420,"Northeast Barren Lands",1
505,5,60,90,580,3140,"Western Desert",1
505,6,50,75,2420,1900,"Waylander Mines",1
505,7,70,100,1860,1700,"North of Main Omni Base",1
505,8,61,82,460,1380,"Dome Ore",1
505,9,100,150,2700,620,"Crystal Forge Volcano",1
505,10,100,150,660,460,"SW Low Plateau",1
550,1,10,20,2660,2020,"Sifter Beach",2
550,2,20,30,1780,1780,"Academy Ore",2
550,3,15,25,1980,1340,"Athen Fault",2
550,4,10,20,2660,820,Grindmoore,2
550,5,15,23,1380,380,"Gladius Grove",2
551,1,40,90,1700,3700,"Styx Magma",0
551,2,35,50,2220,3340,"Carbon Grove",0
551,3,26,50,980,3140,"Between the Craters",0
551,4,25,35,340,2420,"Powdered Dunes",0
551,5,32,45,2540,2060,"Dust Bank",0
551,6,20,30,580,1740,"Charred Groove",0
551,7,12,45,940,1540,"West of Perdition",0
551,8,15,30,660,900,"North of Yuttos",0
560,1,100,170,1500,3420,"Terraform Edge",1
560,2,170,250,3060,3020,"West Spirals",1
560,3,170,250,3500,2980,"East Spirals",1
560,4,130,170,1220,2220,"Middle Mort Desert",1
560,5,1,100,900,1460,"Green Crater",1
560,6,110,160,3100,1460,"Oasis Ore",1
560,7,150,200,2740,700,"South East Craterwall",1
560,8,100,150,540,540,"South West Craterwall",1
560,9,160,210,2780,540,Stormshelter,1
565,1,25,40,2940,2900,"Rich Desert Ridge",2
565,2,30,45,1980,2580,"East of Meetmedere",2
565,3,50,75,540,2020,"Middle of Western Desert",2
565,4,40,60,2580,1940,"North of Rhino Village",2
565,5,40,60,2700,1260,"South of Rhino Village",2
567,1,12,20,1220,1060,"In the Newland Desert",1
567,2,15,25,540,460,"West of Newland Lake",1
570,1,200,300,3220,3020,"North of Cyborg Hideout",1
570,2,191,250,3780,2540,"Middle of Liberty",1
570,3,120,180,980,2060,"South of Sabulum",1
570,4,190,230,3940,2060,"Cyborg Border",1
570,5,200,300,2820,1820,"Middle of Perpetual Wastelands",1
570,6,200,300,3740,1700,"South of Cyborg Hideout",1
570,7,100,150,1500,1340,"Lower Plateu Zone",1
570,8,100,150,2100,1380,"The Mid Canyon Crossing",1
570,9,120,180,3020,1220,"Plains of dust",1
570,10,100,150,900,1060,"West of Canyon",1
570,11,100,150,3180,940,"The Canyon Mines",1
570,12,190,230,2300,780,"South of Canyon",1
585,1,40,60,1220,2740,"Northern Wastelands",1
585,2,11,16,2180,2580,"West Wastelands",1
585,3,40,55,1020,2460,"Mid Wastelands",1
585,4,30,45,2140,1660,"Giant Green River Bank North",1
585,5,11,16,1180,1340,"West of the Dead Forest",1
585,6,30,45,2100,1340,"Giant Green River Bank South",1
585,7,15,22,1420,1020,"Canyon East",1
585,8,25,35,820,780,"Canyon South",1
585,9,35,50,900,460,"By the River",1
590,1,140,200,1740,3100,"By the Fisher Village",2
590,2,140,200,2100,3060,"Fisher Village Approach",2
590,3,100,170,2900,2820,"North Forest",2
590,4,90,130,3340,2700,"North-east Forest",2
590,5,130,170,860,1220,"North-west of Lava Ditches",2
590,6,100,150,3100,980,"Mid Clutching Forest",2
590,7,130,170,860,780,"South-west of Lava Ditches",2
590,8,100,150,3180,620,"South Clutching Forest",2
595,1,100,150,1140,3380,"Old ruins",0
595,2,100,150,3180,2900,"Plains of defense",0
595,3,130,180,1740,2300,"The haunted forest outskirt",0
595,4,130,180,900,2220,"Forest of Xzawkaz",0
595,5,200,300,2260,1860,"In the Swamp of Horrors",0
595,6,130,180,1420,1500,"Island of Control",0
595,7,130,180,1340,1140,"The swamp of hope",0
595,8,200,300,2900,1100,"South of the Medusa",0
595,9,140,210,2140,780,"Middle of the Foul Forest",0
595,10,200,300,540,540,"Southern Forest of Xzawkaz",0
600,1,30,45,2420,2980,"By the Rivers Edge",1
600,2,50,75,620,2900,"North Forest Road",1
600,3,25,50,1300,2660,"Along the Rivers Edge",1
600,4,30,45,3740,2500,"East Forest",1
600,5,25,50,3140,2020,"Rhino Hills",1
600,6,50,75,580,1700,"West Forest",1
600,7,60,90,1940,1620,Crossroads,1
600,8,60,90,1140,1500,Forestdawn,1
600,9,50,75,3220,1140,"East of Crater",1
605,1,160,200,2940,2820,"Forest Waters",2
605,2,110,120,1100,2620,"Muddy Pools",2
605,3,100,150,1700,2300,"West of Wine",2
605,4,120,180,2940,2260,"East of Wine",2
605,5,130,195,1900,1740,"Central Belial Forest",2
605,6,130,190,2500,1660,"River Delta",2
605,7,160,200,2540,1220,"Junction Forest",2
605,8,100,150,2340,860,Borderline,2
605,9,120,180,2020,420,"Southern belial Mine",2
605,10,140,200,620,380,"Southwest Belial Mining District",2
610,1,60,90,1380,2780,"Tetlies Land control area",1
610,2,80,120,2900,2660,"East of the Great Marsh",1
610,3,60,90,660,2460,"West of outpost 10-3",1
610,4,100,150,2300,2020,"Defense of Geholva",1
610,5,106,143,2740,1180,"South of Forest of Geholva",1
610,6,120,180,860,900,"Avid Crater",1
610,7,120,180,1540,900,"East of Avid Crater",1
610,8,100,150,2460,540,"Bendelham forest Defense",1
615,1,60,100,1900,3020,"North of Lenne",1
615,2,100,150,860,2820,"Little Hawaii Defense",1
615,3,90,120,2620,2660,"Defense of Zoto",1
615,4,60,100,900,2100,"By the Ocean",1
615,5,61,100,2300,1180,Birm,1
615,6,120,180,2700,660,"SFH Defense",1
615,7,100,150,1860,500,"South in Nightplain",1
620,1,150,200,2700,3860,"Krud the Lost Valley Defense",2
